Data File Name,Ggoyal_High Sensitivity DNA Assay_DE24802700_2018-03-20_12-29-39.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, March 20, 2018 7:29:39 PM"
Date Last Modified,"Tuesday, March 20, 2018 9:37:10 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,7
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-2.333373E-02
32.05,-9.963746E-02
32.1,-4.085285E-02
32.15,0.0934628
32.2,0.1895169
32.25,0.2155104
32.3,0.217806
32.35,0.1986115
32.4,0.1255514
32.45,5.210755E-02
32.5,0.1050625
32.55,0.1892518
32.6,0.1741133
32.65,0.1635794
32.7,0.2366121
32.75,0.2535352
32.8,0.253207
32.85,0.2418308
32.9,0.2841373
32.95,0.2916099
33,0.2674871
33.05,0.2763032
33.1,0.2649235
33.15,0.1902077
33.2,0.1200332
33.25,0.1109512
33.3,0.1461276
33.35,0.1847569
33.4,0.2401414
33.45,0.2755249
33.5,0.255472
33.55,0.1901845
33.6,0.138144
33.65,8.563609E-02
33.7,6.915411E-02
33.75,0.0821143
33.8,0.1360685
33.85,0.1967598
33.9,0.2048108
33.95,0.1632226
34,0.1626603
34.05,0.1518425
34.1,0.1632953
34.15,0.1914192
34.2,0.1745033
34.25,0.138495
34.3,0.1020052
34.35,5.527199E-02
34.4,2.456615E-02
34.45,8.230839E-03
34.5,5.065078E-02
34.55,0.1589754
34.6,0.1740244
34.65,0.2168862
34.7,0.2867754
34.75,0.1779651
34.8,6.826248E-02
34.85,-1.827377E-02
34.9,8.21188E-03
34.95,6.170322E-02
35,0.1228596
35.05,0.1732592
35.1,0.2033781
35.15,0.2125173
35.2,0.2668101
35.25,0.3599512
35.3,0.4257399
35.35,0.4387759
35.4,0.3675049
35.45,0.3163431
35.5,0.2576274
35.55,0.2763168
35.6,0.28085
35.65,0.3279191
35.7,0.2945184
35.75,0.299184
35.8,0.276936
35.85,0.269706
35.9,0.282304
35.95,0.2756751
36,0.2472417
36.05,0.2417352
36.1,0.2348964
36.15,0.2619517
36.2,0.2690811
36.25,0.2345421
36.3,0.1983049
36.35,0.1269378
36.4,5.502389E-02
36.45,0.1038913
36.5,0.2010509
36.55,0.2388524
36.6,0.206405
36.65,0.1517726
36.7,0.1010448
36.75,3.037903E-02
36.8,0.1180508
36.85,0.1689465
36.9,0.1411934
36.95,0.1257979
37,0.156617
37.05,0.2190392
37.1,0.2686857
37.15,0.2982739
37.2,0.3005327
37.25,0.2244662
37.3,0.1594072
37.35,0.1810609
37.4,0.2078761
37.45,0.2219359
37.5,0.2320725
37.55,0.2079062
37.6,0.2782603
37.65,0.4265558
37.7,0.4568846
37.75,0.4871507
37.8,0.4463987
37.85,0.3765795
37.9,0.3000135
37.95,0.22124
38,0.2256991
38.05,0.2711339
38.1,0.2640617
38.15,0.2730032
38.2,0.3093722
38.25,0.2997189
38.3,0.2718122
38.35,0.2441451
38.4,0.206857
38.45,0.2184384
38.5,0.2608901
38.55,0.2327229
38.6,0.1762316
38.65,0.1383152
38.7,0.1296688
38.75,0.1635645
38.8,0.1763581
38.85,0.2729424
38.9,0.2705537
38.95,0.1918656
39,8.502424E-02
39.05,2.110107E-02
39.1,2.168383E-02
39.15,5.526212E-02
39.2,9.766445E-02
39.25,0.1228718
39.3,0.1352038
39.35,0.1080236
39.4,1.823361E-02
39.45,-6.082547E-02
39.5,-4.118187E-02
39.55,3.521294E-02
39.6,8.915108E-02
39.65,0.141358
39.7,0.1209588
39.75,0.1275932
39.8,0.1290118
39.85,0.1839639
39.9,0.3512122
39.95,0.3919635
40,0.3617927
40.05,0.3336274
40.1,0.2868867
40.15,0.3296995
40.2,0.3821366
40.25,0.4203053
40.3,0.4244426
40.35,0.438942
40.4,0.4388667
40.45,0.4028704
40.5,0.3928848
40.55,0.4211184
40.6,0.4523465
40.65,0.4822157
40.7,0.4918178
40.75,0.4766502
40.8,0.4477222
40.85,0.3459707
40.9,0.3547328
40.95,0.3949763
41,0.3834342
41.05,0.3443787
41.1,0.2748982
41.15,0.217368
41.2,0.1944041
41.25,0.2483018
41.3,0.3163078
41.35,0.3884958
41.4,0.412094
41.45,0.3933147
41.5,0.3834255
41.55,0.3797168
41.6,0.367646
41.65,0.3501181
41.7,0.3435025
41.75,0.3500957
41.8,0.3671846
41.85,0.3403474
41.9,0.3028203
41.95,0.3116198
42,0.2893479
42.05,0.3352406
42.1,0.406415
42.15,0.4913904
42.2,0.512053
42.25,0.4515981
42.3,0.4022191
42.35,0.4373271
42.4,0.6234971
42.45,1.184274
42.5,2.375836
42.55,4.559789
42.6,8.216549
42.65,13.81396
42.7,21.69043
42.75,31.6626
42.8,42.95794
42.85,54.24728
42.9,63.6708
42.95,69.60112
43,70.60448
43.05,66.25044
43.1,57.83611
43.15,46.95552
43.2,35.51774
43.25,25.07564
43.3,16.5859
43.35,10.41192
43.4,6.233534
43.45,3.719693
43.5,2.358741
43.55,1.604155
43.6,1.18169
43.65,0.9753745
43.7,0.8796906
43.75,0.8252226
43.8,0.7814013
43.85,0.724833
43.9,0.6837857
43.95,0.5879946
44,0.6247699
44.05,0.6542333
44.1,0.6733204
44.15,0.6505552
44.2,0.5451992
44.25,0.4595253
44.3,0.3743526
44.35,0.304488
44.4,0.3128438
44.45,0.3331425
44.5,0.4379731
44.55,0.7114186
44.6,1.263696
44.65,2.501326
44.7,4.956462
44.75,9.064625
44.8,15.297
44.85,23.83413
44.9,34.1456
44.95,45.15132
45,55.12416
45.05,62.1063
45.1,64.67187
45.15,62.188
45.2,55.29449
45.25,45.73165
45.3,35.16039
45.35,25.38633
45.4,17.3291
45.45,11.32188
45.5,7.319763
45.55,5.011461
45.6,3.728925
45.65,2.998414
45.7,2.591418
45.75,2.329216
45.8,2.127311
45.85,1.897265
45.9,1.798487
45.95,1.862852
46,1.865051
46.05,1.693923
46.1,1.572792
46.15,1.503094
46.2,1.372713
46.25,1.39596
46.3,1.502787
46.35,1.557601
46.4,1.478037
46.45,1.350737
46.5,1.205779
46.55,1.092379
46.6,1.062763
46.65,1.138721
46.7,1.21822
46.75,1.212484
46.8,1.106576
46.85,0.897934
46.9,0.690568
46.95,0.552923
47,0.5138571
47.05,0.4671968
47.1,0.4602077
47.15,0.4678098
47.2,0.4018658
47.25,0.3622352
47.3,0.3694631
47.35,0.4090483
47.4,0.4075817
47.45,0.3953824
47.5,0.3854294
47.55,0.3785519
47.6,0.4004394
47.65,0.4486309
47.7,0.4695281
47.75,0.4850743
47.8,0.4710189
47.85,0.3810346
47.9,0.3412017
47.95,0.4109771
48,0.4997444
48.05,0.5251518
48.1,0.4788664
48.15,0.5367649
48.2,0.5849649
48.25,0.4606896
48.3,0.4417248
48.35,0.482015
48.4,0.4974985
48.45,0.4362778
48.5,0.3783076
48.55,0.3743131
48.6,0.2983256
48.65,0.2051377
48.7,0.2140915
48.75,0.2807182
48.8,0.3213373
48.85,0.3029923
48.9,0.2582767
48.95,0.2475503
49,0.2214788
49.05,0.2232179
49.1,0.321384
49.15,0.330382
49.2,0.2426358
49.25,0.1876301
49.3,0.140907
49.35,0.1217059
49.4,0.1141919
49.45,0.1091024
49.5,0.1301582
49.55,0.1657223
49.6,0.235492
49.65,0.5008257
49.7,1.310568
49.75,3.385516
49.8,7.636666
49.85,14.83439
49.9,25.45648
49.95,39.17309
50,54.35135
50.05,68.52778
50.1,79.00968
50.15,83.3366
50.2,80.28926
50.25,70.86508
50.3,57.1274
50.35,42.50978
50.4,29.48181
50.45,19.61782
50.5,12.99991
50.55,8.897901
50.6,6.556065
50.65,5.299368
50.7,4.460332
50.75,3.866464
50.8,3.431084
50.85,3.054711
50.9,2.679593
50.95,2.29397
51,1.972697
51.05,1.733996
51.1,1.499756
51.15,1.322124
51.2,1.262107
51.25,1.218429
51.3,1.146004
51.35,1.08864
51.4,1.046199
51.45,1.152065
