Data File Name,ggoyal_High Sensitivity DNA Assay_DE24802700_2017-12-18_11-08-52.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Monday, December 18, 2017 7:08:52 PM",,
Date Last Modified,"Monday, December 18, 2017 7:41:38 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,8,,
 ,,,
Sample Name,0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
43,201.292,,
43.05,187.7791,,
43.1,161.2669,,
43.15,127.3091,,
43.2,92.81736,,
43.25,62.44588,,
43.3,39.08179,,
43.35,23.11762,,
43.4,13.50368,,
43.45,7.96773,,
43.5,5.072242,,
43.55,3.616462,,
43.6,2.872182,,
43.65,2.34515,,
43.7,1.980532,,
43.75,1.721868,,
43.8,1.458354,,
43.85,1.266212,,
43.9,1.062089,,
43.95,0.8164979,,
44,0.6220335,,
44.05,0.5476959,,
44.1,0.650059,,
44.15,0.7197065,,
44.2,0.7357017,,
44.25,0.6148616,,
44.3,0.3867441,,
44.35,0.3284017,,
44.4,0.3612317,,
44.45,0.4675506,,
44.5,0.5110183,,
44.55,0.3499374,,
44.6,0.1784443,,
44.65,0.1399065,,
44.7,0.288817,,
44.75,0.4890865,,
44.8,0.5919216,,
44.85,0.7149742,,
44.9,0.6951671,,
44.95,0.8309149,,
45,0.9822236,,
45.05,1.012434,,
45.1,0.9629828,,
45.15,0.9264934,,
45.2,0.9571139,,
45.25,0.9799158,,
45.3,1.03612,,
45.35,1.125561,,
45.4,1.175876,,
45.45,1.243696,,
45.5,1.237528,,
45.55,1.134387,,
45.6,1.028454,,
45.65,0.9423774,,
45.7,0.8193102,,
45.75,0.6582163,,
45.8,0.5884163,,
45.85,0.5410004,,
45.9,0.449556,,
45.95,0.4914665,,
46,0.6093724,,
46.05,0.6082506,,
46.1,0.5748913,,
46.15,0.4820337,,
46.2,0.4581581,,
46.25,0.3440389,,
46.3,0.3283242,,
46.35,0.4990194,,
46.4,0.6466425,,
46.45,0.5844876,,
46.5,0.4217462,,
46.55,0.1659368,,
46.6,-8.80E-02,,
46.65,-0.3148452,,
46.7,-0.3797756,,
46.75,-0.3401101,,
46.8,-0.3450004,,
46.85,-0.3705209,,
46.9,-0.3739935,,
