Data File Name,Nextera2_jlc_High Sensitivity DNA Assay_DE24802700_2016-09-01_11-31-05.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Thursday, September 01, 2016 6:31:05 PM",,
Date Last Modified,"Friday, November 17, 2017 12:23:26 AM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
43.05,76.1507,,
43.1,67.57981,,
43.15,55.40568,,
43.2,41.97997,,
43.25,29.20879,,
43.3,18.82254,,
43.35,11.30257,,
43.4,6.654692,,
43.45,3.940866,,
43.5,2.504098,,
43.55,1.830391,,
43.6,1.555334,,
43.65,1.479684,,
43.7,1.548316,,
43.75,1.470198,,
43.8,1.222155,,
43.85,0.7826839,,
43.9,0.4340787,,
43.95,0.2303851,,
44,7.50E-02,,
44.05,5.29E-02,,
44.1,5.64E-02,,
44.15,6.72E-02,,
44.2,0.1258944,,
44.25,0.1000022,,
44.3,-0.0648532,,
44.35,-0.2682257,,
44.4,-0.4525622,,
44.45,-0.4709872,,
44.5,-0.3972982,,
44.55,-0.2507648,,
44.6,2.13E-02,,
44.65,0.2194625,,
44.7,0.2829637,,
44.75,0.336643,,
44.8,0.4411247,,
44.85,0.6176018,,
44.9,0.8465596,,
44.95,1.181966,,
45,1.524092,,
45.05,1.777301,,
45.1,1.783393,,
45.15,1.815236,,
45.2,1.788709,,
45.25,1.610286,,
45.3,1.343001,,
45.35,0.912183,,
45.4,0.5219564,,
45.45,0.160803,,
45.5,-0.1948117,,
45.55,-0.2212159,,
45.6,-0.2877517,,
45.65,-0.3294736,,
45.7,-0.4067189,,
45.75,-0.4302757,,
45.8,-0.4964791,,
45.85,-0.5882204,,
45.9,-0.5491279,,
45.95,-0.4562061,,
46,-0.3996042,,
46.05,-0.2823694,,
46.1,-0.1842691,,
46.15,-0.1927634,,
46.2,-0.2943182,,
46.25,-0.4243569,,
46.3,-0.5059938,,
46.35,-0.529117,,
46.4,-0.4989609,,
46.45,-0.4314246,,
46.5,-0.426393,,
46.55,-0.5031138,,
46.6,-0.5959639,,
46.65,-0.6107047,,
46.7,-0.5502557,,
46.75,-0.5053178,,
46.8,-0.4680758,,
46.85,-0.5116817,,
46.9,-0.5969953,,
46.95,-0.7702128,,
47,-0.8521879,,
47.05,-0.8932799,,
47.1,-0.9049441,,
47.15,-0.7922462,,
47.2,-0.8086625,,
47.25,-0.6821363,,
47.3,-0.4891729,,
47.35,-0.4541246,,
47.4,-0.5303544,,
47.45,-0.5980891,,
47.5,-0.6897706,,
47.55,-0.8692988,,
47.6,-1.032882,,
47.65,-0.9653325,,
47.7,-0.9294341,,
47.75,-0.9628484,,
47.8,-0.9801986,,
47.85,-0.9985532,,
47.9,-1.066623,,
47.95,-1.112491,,
48,-1.110662,,
48.05,-1.154498,,
48.1,-1.285334,,
48.15,-1.42209,,
48.2,-1.355314,,
48.25,-1.015429,,
48.3,-0.7336478,,
48.35,-0.7677992,,
48.4,-0.9316379,,
48.45,-1.18776,,
48.5,-1.526886,,
48.55,-1.719357,,
48.6,-1.687652,,
48.65,-1.634257,,
48.7,-1.785229,,
48.75,-1.63151,,
48.8,-1.215796,,
48.85,-1.092546,,
48.9,-1.240749,,
48.95,-1.533541,,
49,-1.900743,,
49.05,-2.191395,,
49.1,-2.144058,,
49.15,-1.746397,,
49.2,-1.563747,,
49.25,-1.569869,,
49.3,-1.716708,,
49.35,-1.759289,,
49.4,-1.827693,,
49.45,-1.814739,,
49.5,-1.864387,,
49.55,-1.711304,,
49.6,-1.5175,,
49.65,-1.453643,,
49.7,-1.451802,,
49.75,-1.426463,,
49.8,-1.565192,,
49.85,-1.610104,,
49.9,-1.615594,,
49.95,-1.486229,,
50,-1.491997,,
50.05,-1.390261,,
50.1,-1.270209,,
50.15,-1.23908,,
50.2,-1.318343,,
50.25,-1.503279,,
50.3,-1.67012,,
50.35,-1.651906,,
50.4,-1.563055,,
50.45,-1.459524,,
50.5,-1.52075,,
50.55,-1.624038,,
50.6,-1.743375,,
50.65,-1.839869,,
50.7,-1.902495,,
50.75,-1.977554,,
50.8,-1.974712,,
50.85,-1.920711,,
50.9,-1.847083,,
50.95,-1.851812,,
51,-1.941752,,
51.05,-2.025791,,
51.1,-2.065857,,
51.15,-2.040982,,
51.2,-2.013144,,
51.25,-2.046926,,
51.3,-2.192987,,
51.35,-2.319085,,
51.4,-2.281695,,
51.45,-2.099444,,
51.5,-1.913834,,
51.55,-1.852336,,
51.6,-1.742751,,
51.65,-1.721268,,
51.7,-1.78968,,
51.75,-1.953355,,
51.8,-2.170605,,
51.85,-2.2657,,
51.9,-2.244982,,
51.95,-2.120619,,
52,-1.909387,,
52.05,-1.85678,,
52.1,-1.785082,,
52.15,-1.700227,,
52.2,-1.54287,,
52.25,-1.46053,,
52.3,-1.465532,,
52.35,-1.63034,,
52.4,-1.80922,,
52.45,-1.798159,,
52.5,-1.708131,,
52.55,-1.659916,,
52.6,-1.731764,,
52.65,-1.902295,,
52.7,-2.054778,,
52.75,-2.064967,,
52.8,-1.962712,,
52.85,-1.84504,,
52.9,-1.766099,,
52.95,-1.790479,,
53,-1.875052,,
53.05,-1.941893,,
53.1,-1.948718,,
53.15,-1.991557,,
53.2,-2.061484,,
53.25,-2.143638,,
53.3,-2.252451,,
53.35,-2.229901,,
53.4,-2.15621,,
53.45,-2.027712,,
53.5,-1.939986,,
53.55,-1.938079,,
53.6,-1.997144,,
53.65,-2.215704,,
53.7,-2.248879,,
