Data File Name,GG_20170621_High Sensitivity DNA Assay_DE24802700_2017-06-21_14-37-03.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\GGoyal,,
Date Created,"Wednesday, June 21, 2017 9:37:03 PM",,
Date Last Modified,"Wednesday, June 21, 2017 10:15:32 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,10,,
 ,,,
Sample Name,0.2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
42.95,162.0381,,
43,167.7702,,
43.05,159.6011,,
43.1,139.012,,
43.15,110.9552,,
43.2,80.83121,,
43.25,53.69343,,
43.3,32.16922,,
43.35,17.36369,,
43.4,8.582275,,
43.45,4.074506,,
43.5,1.984035,,
43.55,1.214284,,
43.6,0.8457842,,
43.65,0.7173007,,
43.7,0.5578256,,
43.75,0.3697003,,
43.8,0.1817071,,
43.85,3.27E-04,,
43.9,-0.1525138,,
43.95,-0.2317133,,
44,-0.2125611,,
44.05,-0.1246858,,
44.1,-3.00E-02,,
44.15,3.11E-03,,
44.2,-3.76E-02,,
44.25,-5.23E-02,,
44.3,-6.92E-02,,
44.35,-7.37E-02,,
44.4,3.39E-02,,
44.45,0.1693334,,
44.5,0.1914001,,
44.55,9.98E-02,,
44.6,7.14E-02,,
44.65,0.1269975,,
44.7,0.1351166,,
44.75,0.2102689,,
44.8,0.4138617,,
44.85,0.5340328,,
44.9,0.4292687,,
44.95,0.2967258,,
45,0.2757898,,
45.05,0.2468151,,
45.1,0.1565851,,
45.15,8.20E-02,,
45.2,7.82E-02,,
45.25,0.1810582,,
45.3,0.289579,,
45.35,0.4610911,,
45.4,0.4812052,,
45.45,0.5190969,,
45.5,0.5367996,,
45.55,0.5557064,,
45.6,0.807315,,
45.65,1.109797,,
45.7,1.194045,,
45.75,1.088286,,
45.8,0.7573458,,
45.85,0.4082428,,
45.9,0.2179966,,
45.95,0.2360363,,
46,0.5324966,,
46.05,0.8365521,,
46.1,0.945698,,
46.15,0.9023722,,
46.2,0.5635255,,
46.25,0.2842089,,
46.3,0.0958355,,
46.35,-3.84E-03,,
46.4,2.59E-02,,
46.45,-1.47E-03,,
46.5,-4.18E-02,,
46.55,6.23E-04,,
46.6,-7.30E-02,,
46.65,-0.2631524,,
46.7,-0.5316848,,
46.75,-0.8133859,,
46.8,-0.994501,,
46.85,-1.030699,,
46.9,-0.9827812,,
46.95,-0.9567531,,
47,-1.036553,,
47.05,-1.080381,,
47.1,-0.9427569,,
47.15,-0.811659,,
47.2,-0.7546268,,
47.25,-0.7269908,,
47.3,-0.8297126,,
47.35,-0.9999668,,
47.4,-0.9842917,,
47.45,-0.7725065,,
47.5,-0.5297135,,
47.55,-0.5449077,,
47.6,-0.7079369,,
47.65,-0.7633588,,
47.7,-0.8040058,,
47.75,-0.8281073,,
47.8,-0.9080486,,
47.85,-1.025583,,
47.9,-0.9213236,,
47.95,-0.9552834,,
48,-0.9904507,,
48.05,-1.018503,,
48.1,-1.22446,,
48.15,-1.420882,,
48.2,-1.452699,,
48.25,-1.155874,,
48.3,-0.7166846,,
48.35,-0.6328137,,
48.4,-0.70333,,
48.45,-0.9174143,,
48.5,-1.086364,,
48.55,-1.187349,,
48.6,-1.308262,,
48.65,-1.476304,,
48.7,-1.385751,,
48.75,-1.317297,,
48.8,-1.271058,,
48.85,-1.202273,,
48.9,-1.15001,,
48.95,-1.220297,,
49,-1.360744,,
49.05,-1.390824,,
49.1,-1.299969,,
49.15,-1.330138,,
49.2,-1.253757,,
49.25,-1.018464,,
49.3,-0.8836566,,
49.35,-0.8473037,,
49.4,-0.8719245,,
49.45,-1.012689,,
49.5,-1.180805,,
49.55,-1.344198,,
49.6,-1.417283,,
49.65,-1.383159,,
49.7,-1.359803,,
49.75,-1.262208,,
49.8,-1.155643,,
49.85,-1.116853,,
49.9,-1.088385,,
49.95,-1.073305,,
50,-1.100867,,
50.05,-1.00127,,
50.1,-0.8639563,,
50.15,-0.8908994,,
50.2,-1.134429,,
50.25,-1.234833,,
50.3,-1.381249,,
50.35,-1.59124,,
50.4,-1.696752,,
50.45,-1.578736,,
50.5,-1.365244,,
50.55,-1.419959,,
50.6,-1.393405,,
50.65,-1.134603,,
50.7,-1.041984,,
50.75,-1.094525,,
50.8,-1.242851,,
50.85,-1.480952,,
50.9,-1.805373,,
50.95,-2.066805,,
51,-2.10689,,
51.05,-1.998701,,
51.1,-1.686766,,
51.15,-1.525183,,
51.2,-1.440478,,
51.25,-1.442613,,
51.3,-1.514569,,
51.35,-1.702857,,
51.4,-1.957962,,
51.45,-2.035594,,
51.5,-1.98177,,
51.55,-1.940033,,
51.6,-1.862236,,
51.65,-1.837212,,
51.7,-1.803274,,
51.75,-1.763531,,
51.8,-1.708394,,
51.85,-1.647451,,
51.9,-1.586553,,
51.95,-1.537524,,
52,-1.395649,,
52.05,-1.183715,,
52.1,-0.9682456,,
52.15,-0.8668916,,
52.2,-0.9516168,,
52.25,-1.126211,,
52.3,-1.344722,,
52.35,-1.506883,,
52.4,-1.506195,,
52.45,-1.332123,,
52.5,-1.128847,,
52.55,-0.9725916,,
52.6,-1.070905,,
52.65,-1.212246,,
52.7,-1.244731,,
52.75,-1.256239,,
52.8,-1.177098,,
52.85,-1.260415,,
52.9,-1.357744,,
52.95,-1.468145,,
53,-1.633675,,
53.05,-1.515494,,
53.1,-1.293779,,
53.15,-1.177527,,
53.2,-1.19229,,
53.25,-1.454542,,
53.3,-1.601493,,
53.35,-1.763369,,
53.4,-1.815044,,
53.45,-1.822343,,
53.5,-1.866841,,
53.55,-1.908978,,
53.6,-1.962956,,
53.65,-1.816665,,
53.7,-1.594522,,
53.75,-1.606962,,
53.8,-1.692261,,
53.85,-1.864911,,
53.9,-1.990833,,
53.95,-2.120522,,
54,-2.133899,,
54.05,-2.024624,,
54.1,-2.004828,,
54.15,-2.043551,,
54.2,-2.021994,,
54.25,-1.936942,,
54.3,-1.816636,,
54.35,-1.67663,,
54.4,-1.533521,,
54.45,-1.399588,,
54.5,-1.329789,,
54.55,-1.288443,,
54.6,-1.272528,,
54.65,-1.183328,,
