Data File Name,nextera11_jlc_High Sensitivity DNA Assay_DE24802700_2017-07-26_15-45-18.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Wednesday, July 26, 2017 10:45:18 PM"
Date Last Modified,"Thursday, November 16, 2017 8:08:50 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,8.822809E-02
32.05,0.1346436
32.1,8.800507E-02
32.15,2.613238E-02
32.2,-5.150104E-02
32.25,-8.598328E-02
32.3,-8.056641E-02
32.35,-1.596069E-02
32.4,1.801542E-02
32.45,4.974988E-02
32.5,3.145599E-02
32.55,-1.411438E-02
32.6,-2.710724E-02
32.65,-3.271724E-02
32.7,-6.408249E-02
32.75,-0.1060715
32.8,-0.1194229
32.85,-0.1073456
32.9,-7.179037E-02
32.95,-4.257535E-02
33,1.381683E-02
33.05,1.304626E-03
33.1,-4.308319E-02
33.15,-5.562429E-02
33.2,-3.431976E-02
33.25,2.971649E-02
33.3,0.1016006
33.35,8.846283E-02
33.4,6.270239E-02
33.45,1.548482E-02
33.5,-0.0218277
33.55,-2.362061E-02
33.6,-1.084137E-02
33.65,-1.318197E-02
33.7,-9.194577E-02
33.75,-0.1435471
33.8,-0.154747
33.85,-0.1342316
33.9,-0.1468192
33.95,-0.135298
34,-0.1134415
34.05,-0.0736084
34.1,-5.236816E-02
34.15,2.698874E-02
34.2,7.385531E-02
34.25,0.1102066
34.3,5.415344E-02
34.35,2.108765E-02
34.4,4.031308E-02
34.45,3.184451E-02
34.5,2.419281E-02
34.55,4.644775E-02
34.6,2.590179E-02
34.65,1.597365E-02
34.7,-1.422128E-02
34.75,-1.535034E-02
34.8,9.521484E-03
34.85,-2.007294E-02
34.9,-4.588985E-02
34.95,-3.328088E-02
35,-5.239868E-02
35.05,-3.479767E-02
35.1,-2.706146E-02
35.15,-7.040102E-03
35.2,1.692932E-02
35.25,1.290131E-02
35.3,-3.416443E-02
35.35,-3.644562E-02
35.4,-0.1014634
35.45,-0.1023873
35.5,-0.1134491
35.55,-0.1092834
35.6,-9.166718E-02
35.65,-8.778299E-02
35.7,-7.692654E-02
35.75,-6.845856E-02
35.8,-8.187103E-02
35.85,-0.1029587
35.9,-0.1510759
35.95,-0.1325269
36,-8.873749E-02
36.05,-8.518219E-02
36.1,-5.892944E-02
36.15,-0.1037594
36.2,-9.954365E-02
36.25,-0.1380386
36.3,-0.1250763
36.35,-0.0803833
36.4,-4.496149E-02
36.45,-6.412404E-02
36.5,-5.072021E-02
36.55,-6.841278E-02
36.6,-7.435608E-02
36.65,-8.493376E-02
36.7,-2.867913E-02
36.75,-0.0318222
36.8,-2.694702E-02
36.85,-4.646301E-02
36.9,-3.924732E-02
36.95,-6.175443E-02
37,-0.0894165
37.05,-0.1101227
37.1,-0.1436005
37.15,-0.1843842
37.2,-0.1447752
37.25,-0.1428909
37.3,-0.1277161
37.35,-0.1157074
37.4,-0.1176238
37.45,-0.1362993
37.5,-0.1382294
37.55,-0.1080093
37.6,-9.056091E-02
37.65,-8.766222E-02
37.7,-9.389466E-02
37.75,-8.999634E-02
