Data File Name,Nextera3_JLC_High Sensitivity DNA Assay_DE24802700_2016-10-13_13-55-37.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Thursday, October 13, 2016 8:55:37 PM",,
Date Last Modified,"Thursday, November 16, 2017 8:08:43 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,9,,
 ,,,
Sample Name,0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,-0.1820831,6.1,1271
32.05,-0.1820831,,
32.1,-0.1820831,,
32.15,-0.1820831,,
32.2,-0.1820831,,
32.25,-0.1820831,,
32.3,-0.1820831,,
32.35,-3.11E-02,,
32.4,-0.0275823,,
32.45,-0.1403309,,
32.5,-0.2197021,,
32.55,-0.251305,,
32.6,-0.1844136,,
32.65,-3.13E-02,,
32.7,0.1112043,,
32.75,0.1451995,,
32.8,5.37E-02,,
32.85,-6.89E-02,,
32.9,-0.0295385,,
32.95,-0.1041789,,
33,-0.1757795,,
33.05,4.70E-02,,
33.1,0.1636166,,
33.15,0.175034,,
33.2,0.2185774,,
33.25,0.2334318,,
33.3,0.1262482,,
33.35,-0.1258191,,
33.4,-0.2840807,,
33.45,-0.2927064,,
33.5,-0.2839052,,
33.55,-0.2510771,,
33.6,-0.1966119,,
33.65,-0.1482304,,
33.7,-0.1116426,,
33.75,-0.1034426,,
33.8,-0.1302163,,
33.85,-0.142633,,
33.9,-0.1224623,,
33.95,-0.160354,,
34,-0.2730767,,
34.05,-0.3296631,,
34.1,-0.318341,,
34.15,-0.302499,,
34.2,-0.2729736,,
34.25,-0.2616885,,
34.3,-0.1843734,,
34.35,-0.1906496,,
34.4,-0.2498333,,
34.45,-0.2161888,,
34.5,-0.2209592,,
34.55,-0.2734845,,
34.6,-0.3198271,,
34.65,-0.3567815,,
34.7,-0.3753732,,
34.75,-0.3741299,,
34.8,-0.3554818,,
34.85,-0.3434809,,
34.9,-0.3687273,,
34.95,-0.3967018,,
35,-0.4289269,,
35.05,-0.4761529,,
35.1,-0.5037004,,
35.15,-0.4670375,,
35.2,-0.2870105,,
35.25,-5.65E-02,,
35.3,4.69E-02,,
35.35,3.15E-02,,
35.4,-8.16E-02,,
35.45,-0.2419258,,
35.5,-0.4357981,,
35.55,-0.5733073,,
35.6,-0.53874,,
35.65,-0.4959651,,
35.7,-0.557855,,
35.75,-0.5119782,,
35.8,-0.373639,,
35.85,-0.2817852,,
35.9,-0.2849514,,
35.95,-0.2716233,,
36,-0.1436446,,
36.05,-6.55E-02,,
36.1,-5.04E-02,,
36.15,2.07E-02,,
36.2,8.17E-03,,
36.25,-8.48E-02,,
36.3,-0.1799341,,
36.35,-0.2967037,,
36.4,-0.3442015,,
36.45,-0.2613795,,
36.5,-0.1185881,,
36.55,5.80E-02,,
36.6,0.1585083,,
36.65,0.1248204,,
36.7,4.45E-02,,
36.75,-7.44E-02,,
36.8,-0.1723974,,
36.85,-0.1326779,,
36.9,-6.91E-02,,
36.95,-9.24E-02,,
37,-0.1077788,,
37.05,-0.1467481,,
37.1,-6.69E-02,,
37.15,-1.14E-02,,
37.2,-5.63E-02,,
37.25,-0.1708847,,
37.3,-0.1144726,,
37.35,-0.1466941,,
37.4,-0.1906254,,
37.45,-0.2972826,,
37.5,-0.3347009,,
37.55,-0.4689688,,
37.6,-0.5795873,,
37.65,-0.6008142,,
37.7,-0.4565681,,
37.75,-0.4024149,,
37.8,-0.4357508,,
37.85,-0.4524375,,
37.9,-0.445417,,
37.95,-0.4667941,,
38,-0.4588524,,
38.05,-0.4071681,,
38.1,-0.3351545,,
38.15,-0.2964891,,
38.2,-0.3498772,,
38.25,-0.3815988,,
38.3,-0.3681394,,
38.35,-0.286483,,
38.4,-0.1990824,,
38.45,-0.158946,,
38.5,-0.1821054,,
38.55,-0.2536245,,
38.6,-0.3030118,,
38.65,-0.339052,,
38.7,-0.4074429,,
38.75,-0.4500396,,
38.8,-0.5925187,,
38.85,-0.7003123,,
38.9,-0.7586842,,
38.95,-0.7347883,,
39,-0.6631342,,
39.05,-0.6351319,,
39.1,-0.5778583,,
39.15,-0.5369144,,
39.2,-0.5187809,,
39.25,-0.4593561,,
39.3,-0.3470698,,
39.35,-0.2741053,,
39.4,-0.304575,,
39.45,-0.4015142,,
39.5,-0.5086706,,
39.55,-0.5627739,,
39.6,-0.5331919,,
39.65,-0.5029763,,
39.7,-0.527023,,
39.75,-0.5862741,,
39.8,-0.7062932,,
39.85,-0.779904,,
39.9,-0.7591137,,
39.95,-0.6420659,,
40,-0.5776613,,
40.05,-0.6363089,,
40.1,-0.6678106,,
40.15,-0.6847887,,
40.2,-0.7486904,,
40.25,-0.7015443,,
40.3,-0.6077021,,
40.35,-0.5771508,,
