Data File Name,Nextera3_JLC_High Sensitivity DNA Assay_DE24802700_2016-10-13_13-55-37.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Thursday, October 13, 2016 8:55:37 PM"
Date Last Modified,"Thursday, November 16, 2017 8:08:43 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,9
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-8.670044E-02
32.05,-8.670044E-02
32.1,-8.670044E-02
32.15,-8.670044E-02
32.2,-8.670044E-02
32.25,-8.670044E-02
32.3,-2.307233E-03
32.35,9.09147E-05
32.4,3.613442E-03
32.45,-4.052621E-02
32.5,-0.1425048
32.55,-0.1837203
32.6,-0.1900606
32.65,-8.732299E-02
32.7,3.554032E-02
32.75,8.429576E-02
32.8,0.1032408
32.85,3.493589E-02
32.9,-2.654332E-02
32.95,1.752306E-02
33,8.715638E-02
33.05,0.105369
33.1,0.1283828
33.15,9.241596E-02
33.2,7.287725E-02
33.25,3.867102E-02
33.3,-2.093803E-03
33.35,4.741753E-02
33.4,3.390835E-02
33.45,6.219096E-02
33.5,0.1466311
33.55,0.1770655
33.6,0.1634476
33.65,7.987726E-02
33.7,9.169596E-02
33.75,0.1518299
33.8,0.1153787
33.85,0.179314
33.9,0.2407156
33.95,0.1612048
34,-7.871055E-04
34.05,-1.437316E-02
34.1,-1.881568E-02
34.15,3.367921E-03
34.2,6.673193E-02
34.25,0.1427562
34.3,0.1380159
34.35,5.248282E-02
34.4,6.529058E-03
34.45,2.919481E-02
34.5,-2.427724E-02
34.55,-2.775369E-02
34.6,4.641283E-02
34.65,2.476919E-02
34.7,-2.989591E-02
34.75,-3.029673E-02
34.8,-6.258995E-02
34.85,-5.508462E-02
34.9,-2.074981E-02
34.95,-3.782482E-02
35,-8.151579E-03
35.05,-2.301371E-02
35.1,2.189936E-02
35.15,7.989687E-02
35.2,9.755779E-02
35.25,0.1302263
35.3,0.1225925
35.35,0.0908305
35.4,9.732111E-02
35.45,7.499483E-02
35.5,5.989454E-02
35.55,6.597412E-02
35.6,0.1052052
35.65,0.1280646
35.7,9.804333E-02
35.75,0.0542371
35.8,1.282101E-02
35.85,1.571819E-02
35.9,4.209162E-02
35.95,6.180186E-02
36,0.0874939
36.05,5.365034E-02
36.1,8.863477E-03
36.15,3.430333E-02
36.2,7.936379E-02
36.25,0.1284681
36.3,0.1548308
36.35,0.1873404
36.4,0.2221033
36.45,0.1881537
36.5,0.175893
36.55,0.1786575
36.6,0.1727722
36.65,0.2021884
36.7,0.2517708
36.75,0.2384842
36.8,0.1684598
36.85,3.614002E-02
36.9,-7.757054E-02
36.95,-0.1439695
37,-0.1354617
37.05,-0.1157129
37.1,-0.1100149
37.15,-0.1139351
37.2,-7.093616E-02
37.25,-6.315372E-02
37.3,-8.125439E-02
37.35,-2.932829E-02
37.4,1.897049E-02
37.45,6.193055E-02
37.5,6.940395E-02
37.55,5.300305E-02
37.6,3.305636E-02
37.65,7.170764E-02
37.7,8.434356E-02
37.75,0.1768566
37.8,0.2168826
37.85,0.2241371
37.9,0.1696274
37.95,0.0952959
38,0.1592345
38.05,0.2253466
38.1,0.2323462
38.15,0.2148615
38.2,0.1937593
38.25,0.2725578
38.3,0.2684287
38.35,0.235974
38.4,0.308248
38.45,0.3501048
38.5,0.3384229
38.55,0.2606303
38.6,0.2270158
38.65,0.1697331
38.7,0.1314875
38.75,0.1266668
38.8,0.1796672
38.85,0.2249825
38.9,0.1627205
38.95,9.998311E-02
39,1.513647E-02
39.05,-3.441941E-02
39.1,-7.211045E-03
39.15,-4.381827E-02
39.2,4.884776E-03
39.25,0.0210366
39.3,-6.935976E-03
39.35,-1.849232E-02
39.4,-8.320046E-02
39.45,-9.919158E-02
39.5,-0.1391421
39.55,-0.1742103
39.6,-0.1348234
39.65,-0.1549838
39.7,-0.1935014
39.75,-0.1947795
39.8,-0.1621352
39.85,-0.1283735
39.9,-8.513059E-02
39.95,-6.875648E-02
40,-0.1264863
40.05,-0.2628961
40.1,-0.2813443
40.15,-0.2216346
40.2,-0.130246
40.25,-4.606953E-02
40.3,-1.000473E-02
40.35,-2.729508E-02
40.4,-7.589316E-03
40.45,-4.283116E-02
40.5,-0.1069727
40.55,-0.1679001
40.6,-0.2164968
40.65,-0.2184289
40.7,-0.1496302
40.75,-3.851972E-02
40.8,4.895574E-02
40.85,3.819824E-02
40.9,-1.730894E-02
40.95,-2.184549E-02
41,-2.890294E-02
41.05,2.914996E-02
41.1,8.156065E-02
41.15,0.1029942
41.2,7.723424E-02
41.25,3.804368E-03
41.3,-5.778603E-02
41.35,-5.423437E-02
41.4,-2.881005E-02
41.45,3.782523E-02
41.5,0.0120971
41.55,-0.0430833
41.6,-8.889788E-02
41.65,-0.15084
41.7,-9.904201E-02
41.75,-6.397053E-02
