Data File Name,Ggoyal_High Sensitivity DNA Assay_DE24802700_2018-02-06_13-10-41.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, February 06, 2018 9:10:42 PM",,
Date Last Modified,"Tuesday, February 06, 2018 10:15:47 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,0.2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,7.91E-02,9.5,1600
32.05,0.1276285,,
32.1,0.1502797,,
32.15,0.159023,,
32.2,0.2229856,,
32.25,0.169541,,
32.3,0.186938,,
32.35,0.1746807,,
32.4,0.1655385,,
32.45,0.1999808,,
32.5,0.206947,,
32.55,0.1748738,,
32.6,0.1674453,,
32.65,0.1792645,,
32.7,0.2125398,,
32.75,0.1877793,,
32.8,0.2251831,,
32.85,0.3261238,,
32.9,0.3900205,,
32.95,0.3940499,,
33,0.3638165,,
33.05,0.3011518,,
33.1,0.211144,,
33.15,0.20636,,
33.2,0.2738876,,
33.25,0.3111086,,
33.3,0.2484085,,
33.35,0.1826261,,
33.4,0.1736468,,
33.45,0.1262654,,
33.5,0.1035258,,
33.55,0.1578346,,
33.6,0.2141111,,
33.65,0.1459913,,
33.7,0.1037332,,
33.75,8.83E-02,,
33.8,0.1388288,,
33.85,0.1525992,,
33.9,0.2090716,,
33.95,0.2495576,,
34,0.2152649,,
34.05,0.1509677,,
34.1,0.1447904,,
34.15,0.1642258,,
34.2,0.1789501,,
34.25,0.1441269,,
34.3,0.1655832,,
34.35,0.1912443,,
34.4,0.1873848,,
34.45,0.1744407,,
34.5,0.114076,,
34.55,0.1028665,,
34.6,1.08E-02,,
34.65,1.11E-02,,
34.7,0.047921,,
34.75,0.1254812,,
34.8,0.2376387,,
34.85,0.3610474,,
34.9,0.4439084,,
34.95,0.4558538,,
35,0.2743589,,
35.05,0.1906969,,
35.1,0.0736384,,
35.15,7.51E-02,,
35.2,0.1575696,,
35.25,0.2202986,,
35.3,0.2338755,,
35.35,0.2006491,,
35.4,0.1417221,,
35.45,0.126932,,
35.5,0.1459359,,
35.55,0.1832305,,
35.6,0.1874878,,
35.65,0.1684719,,
35.7,0.1065522,,
35.75,3.77E-02,,
