Data File Name,ggoyal_High Sensitivity DNA Assay_DE24802700_2017-12-18_11-08-52.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Monday, December 18, 2017 7:08:52 PM"
Date Last Modified,"Monday, December 18, 2017 7:41:38 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,8
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,0.3161621
32.05,0.3161621
32.1,0.3161621
32.15,0.3161621
32.2,0.3161621
32.25,0.3161621
32.3,0.3161621
32.35,0.3161621
32.4,0.3161621
32.45,0.3161621
32.5,0.3161621
32.55,0.3161621
32.6,0.3161621
32.65,0.3161621
32.7,0.3161621
32.75,0.3161621
32.8,0.3161621
32.85,0.3161621
32.9,0.3161621
32.95,0.3161621
33,0.3161621
33.05,0.3738137
33.1,0.2161942
33.15,9.848876E-02
33.2,8.799986E-02
33.25,0.2074722
33.3,0.2985457
33.35,0.1689787
33.4,0.1188302
33.45,-2.430544E-02
33.5,-0.1207468
33.55,-1.998458E-02
33.6,-8.554143E-02
33.65,-9.941548E-02
33.7,-0.1820649
33.75,-0.3176946
33.8,-0.4280047
33.85,-0.4598739
33.9,-0.4021969
33.95,-0.4083696
34,-0.476938
34.05,-0.4908282
34.1,-0.529653
34.15,-0.5316745
34.2,-0.5306506
34.25,-0.5200197
34.3,-0.481229
34.35,-0.42308
34.4,-0.3433646
34.45,-0.2628384
34.5,-0.1962454
34.55,-0.2173836
34.6,-0.2431747
34.65,-0.2451787
34.7,-0.2393932
34.75,-0.3619725
34.8,-0.3958566
34.85,-0.4465977
34.9,-0.4131314
34.95,-0.3279314
35,-0.1537196
35.05,-0.0102708
35.1,0.0366935
35.15,-2.336185E-03
35.2,-3.657469E-02
35.25,-0.1090187
35.3,-0.1221192
35.35,-0.1509151
35.4,-0.2214106
35.45,-0.2945277
35.5,-0.3323014
35.55,-0.2321805
35.6,-6.816003E-02
35.65,-2.810324E-02
35.7,-0.0881308
35.75,-0.1731851
35.8,-0.2992094
35.85,-0.4397629
35.9,-0.2939852
35.95,-0.186328
36,-0.2752917
36.05,-0.4657983
36.1,-0.5855997
36.15,-0.7532187
36.2,-0.7723028
36.25,-0.6710863
36.3,-0.6139086
36.35,-0.6641209
36.4,-0.6748563
36.45,-0.6335235
36.5,-0.6074778
36.55,-0.5086945
36.6,-0.4083275
36.65,-0.3944576
36.7,-0.3905526
36.75,-0.4075913
