Data File Name,ggoyal_High Sensitivity DNA Assay_DE24802700_2017-07-11_14-23-16.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\GGoyal
Date Created,"Tuesday, July 11, 2017 9:23:16 PM"
Date Last Modified,"Thursday, July 13, 2017 11:57:47 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,8.590698E-02
32.05,8.590698E-02
32.1,8.590698E-02
32.15,8.590698E-02
32.2,8.590698E-02
32.25,8.590698E-02
32.3,8.590698E-02
32.35,8.590698E-02
32.4,8.590698E-02
32.45,8.590698E-02
32.5,8.590698E-02
32.55,8.590698E-02
32.6,8.590698E-02
32.65,8.590698E-02
32.7,8.590698E-02
32.75,8.590698E-02
32.8,8.590698E-02
32.85,8.590698E-02
32.9,8.590698E-02
32.95,8.590698E-02
33,8.590698E-02
33.05,8.590698E-02
33.1,8.590698E-02
33.15,8.590698E-02
33.2,8.590698E-02
33.25,8.590698E-02
33.3,8.590698E-02
33.35,6.573571E-02
33.4,8.226985E-02
33.45,6.531139E-02
33.5,-9.886432E-03
33.55,3.804305E-02
33.6,6.539649E-02
33.65,-2.532239E-02
33.7,-6.031284E-03
33.75,-1.466835E-02
33.8,-3.544359E-02
33.85,-5.685334E-02
33.9,0.1028969
33.95,-1.703435E-02
34,-8.929063E-02
34.05,-0.1057227
34.1,-0.1268288
34.15,-6.692378E-02
34.2,5.142656E-02
34.25,0.1731213
34.3,0.1948663
34.35,0.2001262
34.4,0.1202776
34.45,0.0301075
34.5,-2.863276E-03
34.55,9.029147E-02
34.6,0.2573617
34.65,0.3308699
34.7,0.229804
34.75,0.1456269
34.8,0.1258374
34.85,0.1418109
34.9,0.1207692
34.95,0.1038654
35,1.035442E-02
35.05,-6.620761E-02
35.1,-2.198936E-02
35.15,4.141853E-02
35.2,0.0843267
35.25,-3.036038E-02
35.3,-8.838462E-03
35.35,-0.1696075
35.4,-0.224702
35.45,-0.2468008
35.5,-0.1082705
35.55,-5.572412E-02
35.6,-5.116465E-02
35.65,-0.145687
35.7,-0.2587759
35.75,-0.380996
35.8,-0.3045171
35.85,-0.2487964
35.9,-0.2587993
35.95,-0.3893532
36,-0.4700101
36.05,-0.598676
36.1,-0.6406654
36.15,-0.5135343
36.2,-0.5641931
36.25,-0.5072437
36.3,-0.4674954
36.35,-0.459185
36.4,-0.4039925
36.45,-0.4237106
36.5,-0.3604842
36.55,-0.3300093
36.6,-0.2284563
36.65,-0.1804177
36.7,-0.1952752
36.75,-0.2061527
36.8,-0.2606843
36.85,-0.2974308
36.9,-0.2739464
36.95,-0.3269468
37,-0.4680941
37.05,-0.4208599
37.1,-0.336562
37.15,-0.2675627
37.2,-0.1610039
37.25,-0.171882
37.3,-0.2205759
37.35,-0.2694147
37.4,-0.2203888
37.45,-0.2021724
37.5,-0.2182656
37.55,-0.1951321
37.6,-0.1965525
37.65,-0.1251248
37.7,-8.760852E-02
37.75,-6.102622E-02
37.8,-8.849419E-02
37.85,-0.1810872
37.9,-0.2454305
37.95,-0.3419808
38,-0.2984508
38.05,-0.2673959
38.1,-0.1718875
38.15,-0.1424825
38.2,-0.1358105
38.25,-0.2373454
38.3,-0.2775258
38.35,-0.276047
38.4,-0.2661316
38.45,-0.2419128
38.5,-0.2293417
38.55,-0.2631588
38.6,-0.3101364
38.65,-0.2427755
38.7,-0.3777539
38.75,-0.4940521
38.8,-0.534768
38.85,-0.5481768
38.9,-0.5223038
38.95,-0.5049629
39,-0.5051011
39.05,-0.5150752
39.1,-0.4899377
39.15,-0.438959
39.2,-0.4451344
39.25,-0.4325043
39.3,-0.40289
