Data File Name,JAM,_JLC_High Sensitivity DNA Assay_DE24802700_2017-09-06_14-50-13.xad,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Wednesday, September 06, 2017 9:50:13 PM",,
Date Last Modified,"Thursday, November 16, 2017 8:08:48 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,nextera0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
43.9,-9.96241,,
43.95,-9.092463,,
44,-7.21913,,
44.05,-4.98548,,
44.1,-3.256487,,
44.15,-2.93877,,
44.2,-4.112965,,
44.25,-5.814591,,
44.3,-6.824029,,
44.35,-6.960977,,
44.4,-6.836031,,
44.45,-6.796461,,
44.5,-7.441428,,
44.55,-8.752622,,
44.6,-9.775418,,
44.65,-10.26357,,
44.7,-10.39542,,
44.75,-10.09151,,
44.8,-9.251376,,
44.85,-8.099298,,
44.9,-6.706335,,
44.95,-5.783414,,
45,-5.884162,,
45.05,-6.678329,,
45.1,-7.329832,,
45.15,-7.400582,,
45.2,-7.171376,,
45.25,-6.812627,,
45.3,-6.21757,,
45.35,-5.384064,,
45.4,-4.439769,,
45.45,-3.539712,,
45.5,-2.964039,,
45.55,-3.168478,,
45.6,-4.323349,,
45.65,-5.647367,,
45.7,-6.124611,,
45.75,-5.741626,,
45.8,-5.046663,,
45.85,-4.691499,,
45.9,-4.443354,,
45.95,-4.290936,,
46,-4.028975,,
46.05,-3.334635,,
46.1,-2.64036,,
46.15,-2.183908,,
46.2,-1.982523,,
46.25,-2.266796,,
46.3,-2.653183,,
46.35,-2.713855,,
46.4,-2.47299,,
46.45,-2.481291,,
46.5,-2.897273,,
46.55,-3.24946,,
46.6,-3.860421,,
46.65,-5.080106,,
46.7,-6.300769,,
46.75,-7.096508,,
46.8,-7.731599,,
46.85,-8.090873,,
46.9,-8.161387,,
46.95,-8.018687,,
47,-7.983046,,
47.05,-8.337154,,
47.1,-8.789915,,
47.15,-9.000944,,
47.2,-9.140986,,
47.25,-9.27712,,
47.3,-9.264591,,
47.35,-9.135585,,
47.4,-8.789049,,
47.45,-8.59426,,
47.5,-8.641769,,
47.55,-8.423793,,
47.6,-7.892026,,
