Data File Name,NK_20170705_High Sensitivity DNA Assay_DE24802700_2017-07-05_15-31-53.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan,,
Date Created,"Wednesday, July 05, 2017 10:31:53 PM",,
Date Last Modified,"Wednesday, July 05, 2017 11:23:33 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,-4.76E-02,11,1412
32.05,-1.79E-02,,
32.1,-2.14E-02,,
32.15,-3.90E-02,,
32.2,2.74E-03,,
32.25,2.98E-02,,
32.3,6.86E-02,,
32.35,0.1197977,,
32.4,0.1572144,,
32.45,0.1724471,,
32.5,0.1416062,,
32.55,0.1232211,,
32.6,0.1398822,,
32.65,0.1618241,,
32.7,0.1635396,,
32.75,0.163422,,
32.8,0.1892515,,
32.85,0.2100161,,
32.9,0.1913323,,
32.95,0.1602078,,
33,9.41E-02,,
33.05,5.06E-02,,
33.1,-2.22E-02,,
33.15,-5.73E-02,,
33.2,-1.70E-02,,
33.25,1.68E-02,,
33.3,2.08E-02,,
33.35,2.56E-02,,
33.4,-1.50E-02,,
33.45,-4.88E-02,,
33.5,-0.1161778,,
33.55,-0.1391471,,
33.6,-0.1383688,,
33.65,-0.1010102,,
33.7,-5.25E-02,,
33.75,-4.70E-02,,
33.8,-4.81E-02,,
33.85,-6.57E-02,,
33.9,-8.00E-02,,
33.95,-5.65E-02,,
34,-0.0383588,,
34.05,-0.1098628,,
34.1,-9.09E-02,,
34.15,-0.1597212,,
34.2,-0.1186207,,
34.25,-0.1054413,,
34.3,-0.1377333,,
34.35,-0.1344189,,
34.4,-0.1345468,,
34.45,-0.1385216,,
34.5,-6.89E-02,,
34.55,-2.86E-02,,
34.6,2.64E-02,,
34.65,0.0504874,,
34.7,-0.0287296,,
34.75,-7.21E-02,,
34.8,-4.17E-02,,
34.85,-5.00E-02,,
34.9,-0.0214831,,
34.95,4.82E-02,,
35,0.1363118,,
35.05,0.1433576,,
35.1,0.0429882,,
35.15,4.67E-02,,
35.2,2.64E-02,,
35.25,-2.86E-02,,
35.3,-3.81E-02,,
35.35,-0.0370861,,
35.4,-2.62E-02,,
35.45,-4.81E-02,,
35.5,-1.30E-02,,
35.55,2.00E-02,,
35.6,2.52E-03,,
35.65,-3.37E-02,,
35.7,-8.50E-02,,
35.75,-0.1456839,,
35.8,-0.1834459,,
35.85,-0.1981476,,
35.9,-0.1983343,,
35.95,-0.2113432,,
36,-0.2261944,,
36.05,-0.2115367,,
36.1,-0.1939951,,
36.15,-0.2091861,,
36.2,-0.1506322,,
36.25,-7.31E-02,,
36.3,3.70E-02,,
36.35,-1.00E-03,,
36.4,-8.22E-02,,
36.45,-0.1499181,,
36.5,-0.164164,,
36.55,-0.147576,,
36.6,-9.48E-02,,
36.65,-8.77E-02,,
36.7,-0.1482879,,
36.75,-0.1921238,,
36.8,-0.238672,,
36.85,-0.2316737,,
36.9,-0.2319206,,
36.95,-0.2533746,,
37,-0.271301,,
37.05,-0.2782289,,
37.1,-0.3381498,,
37.15,-0.2332051,,
37.2,-0.2073827,,
37.25,-0.2224922,,
37.3,-0.2583917,,
37.35,-0.2958402,,
37.4,-0.2934889,,
37.45,-0.2812375,,
37.5,-0.2581929,,
37.55,-0.2388762,,
37.6,-0.2375497,,
37.65,-0.2332557,,
37.7,-0.2387447,,
37.75,-0.2954333,,
37.8,-0.3587811,,
37.85,-0.375667,,
37.9,-0.4144565,,
37.95,-0.3731123,,
38,-0.3148026,,
38.05,-0.2533674,,
38.1,-0.1911291,,
38.15,-0.2630527,,
38.2,-0.3443777,,
38.25,-0.3385745,,
38.3,-0.3621078,,
38.35,-0.3005945,,
38.4,-0.2719791,,
38.45,-0.3058801,,
38.5,-0.3426929,,
38.55,-0.4060684,,
38.6,-0.4720239,,
38.65,-0.4931026,,
38.7,-0.4968613,,
38.75,-0.4644983,,
38.8,-0.3457396,,
38.85,-0.2137858,,
38.9,-0.137635,,
38.95,-0.1630048,,
39,-0.2821305,,
39.05,-0.4217218,,
39.1,-0.5497274,,
39.15,-0.6373534,,
39.2,-0.618361,,
39.25,-0.5565184,,
39.3,-0.5366747,,
39.35,-0.5566874,,
39.4,-0.5446008,,
39.45,-0.4790158,,
39.5,-0.4550745,,
39.55,-0.4943823,,
39.6,-0.522988,,
39.65,-0.5570936,,
39.7,-0.6305758,,
39.75,-0.6738827,,
39.8,-0.6659536,,
39.85,-0.600142,,
39.9,-0.5895426,,
39.95,-0.5585362,,
40,-0.4527945,,
40.05,-0.4194641,,
40.1,-0.4474901,,
40.15,-0.4801447,,
40.2,-0.5027502,,
40.25,-0.5436211,,
40.3,-0.600706,,
40.35,-0.5822244,,
40.4,-0.4853728,,
40.45,-0.4019427,,
40.5,-0.322799,,
40.55,-0.2975699,,
40.6,-0.3257066,,
40.65,-0.3600053,,
40.7,-0.4181927,,
40.75,-0.4468643,,
40.8,-0.4133379,,
40.85,-0.3384084,,
40.9,-0.3472296,,
40.95,-0.3664122,,
41,-0.3585665,,
41.05,-0.2968017,,
41.1,-0.3112657,,
41.15,-0.3692499,,
41.2,-0.3967226,,
41.25,-0.4269336,,
41.3,-0.5221785,,
41.35,-0.5280066,,
41.4,-0.4956339,,
41.45,-0.4761877,,
41.5,-0.5033143,,
41.55,-0.5192654,,
41.6,-0.4861592,,
41.65,-0.4377717,,
41.7,-0.38665,,
41.75,-0.368763,,
41.8,-0.3714427,,
41.85,-0.38247,,
41.9,-0.4049424,,
41.95,-0.4633131,,
42,-0.517535,,
42.05,-0.481351,,
42.1,-0.4092178,,
42.15,-0.3857041,,
42.2,-0.327281,,
42.25,-0.320263,,
42.3,-0.3336666,,
42.35,-0.3022629,,
42.4,-0.1535633,,
42.45,0.2922376,,
42.5,1.272136,,
42.55,3.144522,,
42.6,6.450527,,
42.65,11.70471,,
42.7,19.32277,,
42.75,29.49231,,
42.8,41.51695,,
42.85,54.30101,,
42.9,66.15393,,
42.95,75.23215,,
43,80.02879,,
43.05,79.36906,,
43.1,73.66132,,
43.15,64.21442,,
43.2,52.47411,,
43.25,40.32524,,
43.3,29.20066,,
43.35,20.10701,,
43.4,13.26653,,
43.45,8.467587,,
43.5,5.322423,,
43.55,3.392558,,
43.6,2.242688,,
43.65,1.550429,,
43.7,1.162306,,
43.75,0.9295309,,
43.8,0.8108071,,
43.85,0.7265074,,
43.9,0.6138117,,
43.95,0.5234966,,
44,0.4520173,,
44.05,0.3758818,,
44.1,0.3201185,,
44.15,0.2124431,,
44.2,0.1474999,,
44.25,4.52E-02,,
44.3,-0.1009345,,
44.35,-0.1816542,,
44.4,-0.1894158,,
44.45,-0.20846,,
44.5,-0.2352767,,
44.55,-0.2281137,,
44.6,-0.1559992,,
44.65,-6.28E-02,,
44.7,-4.78E-02,,
44.75,-8.26E-04,,
44.8,4.04E-02,,
44.85,6.94E-02,,
44.9,0.1487797,,
44.95,0.3850264,,
45,0.6717254,,
45.05,0.9136539,,
45.1,1.067572,,
45.15,1.226924,,
45.2,1.352982,,
45.25,1.479187,,
45.3,1.596249,,
45.35,1.670182,,
45.4,1.644543,,
45.45,1.556255,,
45.5,1.444862,,
45.55,1.317398,,
45.6,1.213462,,
45.65,1.163794,,
45.7,1.139527,,
45.75,1.097842,,
45.8,1.072296,,
45.85,1.063503,,
45.9,1.032207,,
45.95,0.9252815,,
46,0.8835352,,
46.05,0.8349316,,
46.1,0.717006,,
46.15,0.6128277,,
46.2,0.5210783,,
46.25,0.4036536,,
46.3,0.2170601,,
46.35,4.51E-02,,
46.4,-7.68E-02,,
46.45,-0.2246148,,
46.5,-0.3990964,,
46.55,-0.5203105,,
46.6,-0.5887077,,
46.65,-0.6403173,,
46.7,-0.6476089,,
46.75,-0.6288435,,
46.8,-0.5882052,,
46.85,-0.5898781,,
46.9,-0.6408819,,
46.95,-0.6369132,,
47,-0.6047008,,
47.05,-0.644464,,
47.1,-0.6514829,,
47.15,-0.6297742,,
47.2,-0.6324125,,
47.25,-0.6738032,,
47.3,-0.6872576,,
47.35,-0.6303898,,
47.4,-0.5680871,,
47.45,-0.5231877,,
47.5,-0.4901354,,
47.55,-0.4875633,,
47.6,-0.5255235,,
47.65,-0.6114154,,
47.7,-0.7036493,,
47.75,-0.72881,,
47.8,-0.6973061,,
47.85,-0.6495569,,
47.9,-0.5808311,,
47.95,-0.5588281,,
48,-0.4669442,,
48.05,-0.4563788,,
48.1,-0.4725099,,
48.15,-0.4878075,,
48.2,-0.5241028,,
48.25,-0.5706649,,
48.3,-0.6232498,,
48.35,-0.6489077,,
48.4,-0.6399367,,
48.45,-0.6406255,,
48.5,-0.6565517,,
48.55,-0.6890619,,
48.6,-0.7757393,,
48.65,-0.8692575,,
48.7,-0.914754,,
48.75,-0.9618058,,
48.8,-0.9354497,,
48.85,-0.8881686,,
48.9,-0.8846534,,
48.95,-0.9568041,,
49,-1.014482,,
49.05,-1.038324,,
49.1,-0.9857951,,
49.15,-0.9880841,,
49.2,-0.9313474,,
49.25,-0.8747345,,
49.3,-0.9031038,,
49.35,-0.9393216,,
49.4,-0.9906461,,
49.45,-1.050246,,
49.5,-1.053094,,
49.55,-1.036261,,
49.6,-1.045847,,
49.65,-1.06825,,
49.7,-1.154926,,
49.75,-1.195751,,
49.8,-1.245466,,
49.85,-1.316962,,
49.9,-1.262986,,
49.95,-1.253701,,
50,-1.31042,,
50.05,-1.349909,,
50.1,-1.348307,,
50.15,-1.311166,,
50.2,-1.268934,,
50.25,-1.226642,,
50.3,-1.286046,,
50.35,-1.359313,,
50.4,-1.419612,,
50.45,-1.485948,,
50.5,-1.502382,,
50.55,-1.464584,,
50.6,-1.433305,,
50.65,-1.445858,,
50.7,-1.46996,,
50.75,-1.462196,,
50.8,-1.339935,,
50.85,-1.295642,,
50.9,-1.295338,,
50.95,-1.256023,,
51,-1.320775,,
51.05,-1.416734,,
51.1,-1.479835,,
51.15,-1.526411,,
51.2,-1.47598,,
51.25,-1.428424,,
51.3,-1.391164,,
51.35,-1.307575,,
51.4,-1.228845,,
51.45,-1.21587,,
51.5,-1.261502,,
51.55,-1.330095,,
51.6,-1.372317,,
51.65,-1.404038,,
51.7,-1.435567,,
51.75,-1.400407,,
51.8,-1.34458,,
51.85,-1.327382,,
51.9,-1.336175,,
51.95,-1.297236,,
52,-1.328543,,
