Data File Name,JAM,_JLC_High Sensitivity DNA Assay_DE24802700_2017-09-06_14-50-13.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Wednesday, September 06, 2017 9:50:13 PM"
Date Last Modified,"Thursday, November 16, 2017 8:08:48 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
45.3,210.6407
45.35,216.2041
45.4,198.7783
45.45,163.1981
45.5,119.0288
45.55,76.80364
45.6,43.63408
45.65,21.90652
45.7,10.42873
45.75,6.034255
45.8,4.585715
45.85,4.036086
45.9,3.610104
45.95,3.224
46,2.829362
46.05,2.483983
46.1,2.245172
46.15,2.112217
46.2,2.056337
46.25,2.092247
46.3,2.045789
46.35,1.784701
46.4,1.381413
46.45,1.118639
46.5,0.9812851
46.55,0.8317412
46.6,0.7643242
46.65,0.7144035
46.7,0.6795436
46.75,0.6347379
46.8,0.6516718
46.85,0.6541514
46.9,0.6275812
46.95,0.5970841
47,0.4454456
47.05,0.331848
47.1,0.3440321
47.15,0.4559286
47.2,0.5537711
47.25,0.6560544
47.3,0.5911915
47.35,0.4086586
47.4,0.3283577
47.45,0.3223127
47.5,0.3587255
47.55,0.43771
47.6,0.5049285
47.65,0.5160441
47.7,0.5074726
47.75,0.5404664
47.8,0.5653971
47.85,0.580608
47.9,0.5813706
47.95,0.639078
48,0.6847488
48.05,0.6066308
48.1,0.5132205
48.15,0.5197917
48.2,0.5857178
48.25,0.642552
48.3,0.6722034
48.35,0.5793992
48.4,0.3441203
48.45,0.4092999
48.5,0.4804105
48.55,0.6070352
48.6,0.660731
48.65,0.6665049
48.7,0.5761898
48.75,0.4926586
48.8,0.422329
48.85,0.2808587
48.9,9.601762E-02
48.95,-1.357783E-02
49,4.731684E-02
49.05,5.351453E-02
49.1,5.004496E-02
49.15,0.1443993
49.2,0.2218929
49.25,2.915446E-02
49.3,8.072612E-02
49.35,0.1332851
49.4,0.1121781
49.45,7.023334E-02
49.5,0.1382768
49.55,0.15977
49.6,0.154315
49.65,0.2865323
49.7,0.3645931
49.75,0.4103247
49.8,0.4665022
49.85,0.4848246
49.9,0.4215348
49.95,0.3671829
50,0.2525467
50.05,0.2345442
50.1,0.3511698
50.15,0.4904592
50.2,0.5512816
50.25,0.5852928
50.3,0.6073263
50.35,0.5903116
50.4,0.5076781
50.45,0.4313853
50.5,0.3458951
50.55,0.3178878
50.6,0.5446929
50.65,2.008718
50.7,6.626502
50.75,17.34985
50.8,38.10801
50.85,71.89973
50.9,118.8347
50.95,174.4229
51,227.1608
51.05,263.1049
51.1,270.2879
51.15,245.9771
51.2,195.9146
51.25,137.0301
51.3,84.19917
51.35,45.93029
51.4,23.12085
51.45,12.38362
51.5,8.38143
51.55,7.115856
51.6,6.416713
51.65,5.727718
51.7,5.201959
51.75,4.754077
51.8,4.228335
51.85,3.806056
51.9,3.448493
51.95,2.859981
52,2.335078
52.05,1.829342
52.1,1.440619
52.15,1.086022
52.2,0.8990275
52.25,0.8366874
52.3,0.7709389
52.35,0.7506745
52.4,0.6288595
52.45,0.5441367
52.5,0.5733187
52.55,0.699299
52.6,0.7742109
52.65,0.6832659
52.7,0.5419227
52.75,0.3632521
52.8,0.2945449
52.85,0.3427294
52.9,0.4496006
52.95,0.4730181
53,0.4772669
53.05,0.4112088
53.1,0.310193
53.15,0.1643772
53.2,0.1393045
53.25,0.2179784
53.3,0.3172852
53.35,0.3084391
53.4,0.3229005
53.45,0.2382423
53.5,0.1757878
53.55,8.469898E-02
53.6,8.410986E-03
53.65,-0.1060895
53.7,-0.2204555
53.75,-0.2908553
53.8,-0.2813682
53.85,-0.2239539
53.9,-0.163821
53.95,-0.2050621
54,-0.2023378
54.05,-0.1922365
54.1,-0.1778754
54.15,-8.094871E-02
54.2,-2.505874E-02
54.25,5.297453E-03
54.3,2.249022E-02
54.35,1.903947E-02
54.4,0.1190859
54.45,0.25318
54.5,0.258366
54.55,4.472465E-02
54.6,1.477798E-02
54.65,-3.566722E-03
54.7,7.008792E-03
54.75,7.672387E-02
54.8,0.2299197
54.85,0.2693385
54.9,0.3020288
54.95,0.3583274
55,0.3695191
55.05,0.3630478
55.1,0.3983884
55.15,0.35213
55.2,0.3061558
55.25,0.3516594
55.3,0.2277238
55.35,0.2121097
55.4,0.4639015
55.45,1.139751
55.5,2.975592
55.55,8.149428
55.6,20.80613
55.65,45.26508
55.7,85.09626
55.75,140.9479
55.8,206.2195
55.85,267.8372
55.9,311.1679
55.95,321.3464
56,296.2238
56.05,242.7946
56.1,176.2009
56.15,112.8561
56.2,63.82005
56.25,32.9801
56.3,17.40428
56.35,11.44649
56.4,9.384149
56.45,8.07239
56.5,6.975665
56.55,5.980188
56.6,5.0291
56.65,4.526533
56.7,4.09724
56.75,3.918986
56.8,3.657953
56.85,3.337428
56.9,2.991498
56.95,2.666631
57,2.34865
57.05,2.029631
57.1,1.885146
57.15,1.602245
57.2,1.234918
57.25,1.422093
57.3,1.486825
57.35,1.357008
57.4,1.239708
