Data File Name,ggoyal_High Sensitivity DNA Assay_DE24802700_2017-08-22_12-14-49.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\GGoyal,,
Date Created,"Tuesday, August 22, 2017 7:13:07 PM",,
Date Last Modified,"Monday, August 28, 2017 7:52:30 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,0.2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,0.1972656,11.5,1703
32.05,0.1972656,,
32.1,0.1972656,,
32.15,0.1972656,,
32.2,0.1972656,,
32.25,0.1972656,,
32.3,0.1972656,,
32.35,0.1972656,,
32.4,0.1972656,,
32.45,0.1972656,,
32.5,0.1972656,,
32.55,0.1972656,,
32.6,0.1972656,,
32.65,0.1972656,,
32.7,0.1972656,,
32.75,0.1972656,,
32.8,0.1972656,,
32.85,0.1972656,,
32.9,0.1972656,,
32.95,0.1972656,,
33,0.1972656,,
33.05,0.1972656,,
33.1,0.1972656,,
33.15,0.1972656,,
33.2,0.1972656,,
33.25,0.1972656,,
33.3,0.1972656,,
33.35,0.1845246,,
33.4,0.126974,,
33.45,2.85E-02,,
33.5,-0.0863219,,
33.55,-0.1367283,,
33.6,-0.1430546,,
33.65,-3.95E-02,,
33.7,0.1103494,,
33.75,0.1468271,,
33.8,6.96E-02,,
33.85,1.44E-02,,
33.9,-2.34E-02,,
33.95,-0.1104927,,
34,-0.101548,,
34.05,-6.67E-02,,
34.1,-1.27E-02,,
34.15,-7.39E-02,,
34.2,-0.0278973,,
34.25,5.82E-03,,
34.3,6.11E-02,,
34.35,0.1156641,,
34.4,0.2034865,,
34.45,0.2739535,,
34.5,0.2952951,,
34.55,0.2332283,,
34.6,0.1549268,,
34.65,9.75E-02,,
34.7,8.62E-02,,
34.75,8.21E-02,,
34.8,8.41E-02,,
34.85,0.1237551,,
34.9,0.1454751,,
34.95,0.1799814,,
35,0.2262086,,
35.05,0.2418505,,
35.1,0.2420478,,
35.15,0.1901653,,
35.2,0.1716843,,
35.25,0.1863152,,
35.3,0.2305539,,
35.35,0.2351662,,
35.4,0.2455619,,
35.45,0.2102114,,
35.5,0.3033197,,
35.55,0.7071213,,
35.6,1.163041,,
35.65,1.376948,,
35.7,1.27304,,
35.75,1.022984,,
35.8,0.8422356,,
35.85,0.6890357,,
35.9,0.5917736,,
35.95,0.5500248,,
36,0.3978892,,
36.05,0.1732537,,
36.1,-1.99E-02,,
36.15,-4.32E-03,,
36.2,7.18E-02,,
36.25,9.69E-02,,
36.3,3.85E-02,,
36.35,-3.32E-02,,
36.4,-3.33E-02,,
36.45,-1.29E-02,,
36.5,-1.01E-02,,
36.55,3.57E-03,,
36.6,-1.80E-02,,
36.65,-2.62E-02,,
36.7,5.94E-02,,
36.75,0.135957,,
36.8,0.1418918,,
36.85,8.14E-02,,
36.9,-4.59E-02,,
36.95,-0.1621112,,
37,-0.1987839,,
37.05,-0.1159309,,
37.1,2.01E-02,,
37.15,7.29E-02,,
37.2,7.18E-02,,
37.25,3.27E-02,,
37.3,-1.06E-02,,
37.35,-6.11E-02,,
37.4,-0.1166877,,
37.45,-0.1639072,,
37.5,-0.3280701,,
37.55,-0.3985335,,
37.6,-0.3194689,,
37.65,-0.2097318,,
37.7,-0.1218407,,
37.75,-8.49E-02,,
37.8,-0.105937,,
37.85,-0.1573614,,
37.9,-0.308609,,
37.95,-0.3809531,,
38,-0.3211944,,
38.05,-0.2769552,,
38.1,-0.201757,,
38.15,-0.1395122,,
38.2,-0.124954,,
38.25,-0.1331674,,
38.3,-0.1700446,,
38.35,-0.1694145,,
38.4,-0.1010565,,
38.45,-4.09E-02,,
38.5,4.06E-02,,
38.55,0.1169222,,
38.6,9.94E-02,,
38.65,8.65E-02,,
38.7,0.0778686,,
38.75,2.76E-02,,
38.8,-4.87E-02,,
38.85,-0.1610274,,
38.9,-0.2048614,,
38.95,-0.1875192,,
39,-0.1269093,,
39.05,5.61E-02,,
39.1,0.1819782,,
39.15,0.1893111,,
39.2,0.1019321,,
39.25,-5.77E-02,,
39.3,-0.255601,,
39.35,-0.2729539,,
39.4,-0.1974155,,
39.45,-0.1160022,,
39.5,-0.1138078,,
39.55,-5.08E-03,,
39.6,8.96E-02,,
39.65,0.1337516,,
39.7,0.1182265,,
39.75,0.2439164,,
39.8,0.3150879,,
39.85,0.28386,,
39.9,0.3096113,,
39.95,0.3947887,,
40,0.5014474,,
40.05,0.6064371,,
40.1,0.6428574,,
40.15,0.6480056,,
40.2,0.6034828,,
40.25,0.4956983,,
40.3,0.3883256,,
40.35,0.2732944,,
40.4,0.1773427,,
40.45,0.1243788,,
40.5,5.68E-02,,
40.55,4.11E-02,,
40.6,0.0465111,,
40.65,-4.47E-02,,
40.7,-0.1170841,,
40.75,-0.174617,,
40.8,-0.1329498,,
40.85,-3.05E-02,,
40.9,4.23E-02,,
40.95,9.06E-02,,
41,6.95E-02,,
41.05,-5.79E-02,,
41.1,-7.48E-02,,
41.15,-7.52E-02,,
41.2,-4.50E-02,,
41.25,1.05E-02,,
41.3,7.08E-02,,
41.35,5.69E-02,,
41.4,7.59E-03,,
41.45,-0.1132247,,
41.5,-0.2146616,,
41.55,-0.2853727,,
41.6,-0.394904,,
41.65,-0.4339204,,
41.7,-0.3874206,,
41.75,-0.3172188,,
41.8,-0.3141406,,
41.85,-0.3564056,,
41.9,-0.3593887,,
41.95,-0.3560218,,
42,-0.3044745,,
42.05,-0.161203,,
42.1,-2.54E-02,,
42.15,0.0318674,,
42.2,2.46E-02,,
42.25,-6.69E-03,,
42.3,-3.67E-02,,
42.35,-4.68E-02,,
42.4,8.29E-02,,
42.45,0.5949123,,
42.5,2.029269,,
42.55,5.093852,,
42.6,10.62031,,
42.65,19.86474,,
42.7,33.43705,,
42.75,51.66256,,
42.8,73.82253,,
42.85,97.60405,,
42.9,120.3252,,
42.95,137.6694,,
43,146.7627,,
43.05,145.2357,,
43.1,133.2547,,
43.15,113.4526,,
43.2,89.34204,,
43.25,64.81431,,
43.3,43.35734,,
43.35,26.51045,,
43.4,15.03047,,
43.45,7.936138,,
43.5,4.004604,,
43.55,2.056507,,
43.6,1.109334,,
43.65,0.6070682,,
43.7,0.3260495,,
43.75,0.1752394,,
43.8,0.1014941,,
43.85,3.34E-02,,
43.9,-5.99E-02,,
43.95,-0.1546222,,
44,-0.2318695,,
44.05,-0.2821786,,
44.1,-0.2278475,,
44.15,-6.94E-02,,
44.2,3.33E-02,,
44.25,7.27E-02,,
44.3,7.34E-02,,
44.35,4.84E-02,,
44.4,2.89E-02,,
44.45,-3.76E-02,,
44.5,-1.42E-02,,
44.55,5.37E-02,,
44.6,4.13E-02,,
44.65,4.58E-02,,
44.7,2.22E-02,,
44.75,7.42E-02,,
44.8,0.1268507,,
44.85,0.1283351,,
44.9,0.2507917,,
44.95,0.3514817,,
45,0.3611951,,
45.05,0.264629,,
45.1,0.2156914,,
45.15,0.1636858,,
45.2,0.2142519,,
45.25,0.2501718,,
45.3,0.2951675,,
45.35,0.4131278,,
45.4,0.4609273,,
45.45,0.460251,,
