Data File Name,NK_20170802_High Sensitivity DNA Assay_DE24802700_2017-08-02_11-26-52.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan
Date Created,"Wednesday, August 02, 2017 6:26:52 PM"
Date Last Modified,"Wednesday, August 02, 2017 7:18:04 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
66.35,0.6351246
66.4,0.4935753
66.45,0.6902549
66.5,0.7021027
66.55,0.4270105
66.6,0.2294344
66.65,3.753846E-02
66.7,-0.1114796
66.75,-0.1629886
66.8,-1.114069E-02
66.85,3.003012E-02
66.9,0.1094215
66.95,0.1644721
67,0.1018346
67.05,5.205676E-02
67.1,1.638474E-02
67.15,7.763173E-02
67.2,1.69692E-03
67.25,0.017007
67.3,-7.122181E-02
67.35,-0.1023078
67.4,-8.286718E-02
67.45,-7.555509E-02
67.5,0.0148511
67.55,7.098558E-02
67.6,9.586191E-02
67.65,0.0331562
67.7,0.1735877
67.75,0.2272532
67.8,0.1100407
67.85,0.1394301
67.9,5.813007E-02
67.95,0.0443738
68,0.2327252
68.05,0.3239098
68.1,0.2236411
68.15,0.140073
68.2,0.1151167
68.25,-4.314125E-02
68.3,-0.2931733
68.35,-0.3015441
68.4,-0.2623947
68.45,-0.2555839
68.5,-0.1438258
68.55,-0.3431235
68.6,-0.5739067
68.65,-0.7083345
68.7,-0.5892938
68.75,-0.6969599
68.8,-0.8110247
68.85,-0.6282548
68.9,-0.5843878
68.95,-0.5283406
69,-0.3917605
69.05,-0.468186
69.1,-0.8407601
69.15,-0.7195517
69.2,-0.601418
69.25,-0.5307699
69.3,-0.3839144
69.35,-1.368364E-02
69.4,2.132438
69.45,9.269936
69.5,26.2037
69.55,57.79294
69.6,109.198
69.65,182.5078
69.7,269.729
69.75,359.2021
69.8,434.1877
69.85,481.0797
69.9,490.3327
69.95,460.0055
70,399.1761
70.05,319.843
70.1,233.9839
70.15,153.3683
70.2,95.31895
70.25,57.33379
70.3,36.10086
70.35,25.82153
70.4,20.68615
70.45,16.92056
70.5,14.85009
70.55,13.06907
70.6,10.93329
70.65,9.228693
70.7,7.794888
70.75,6.382034
70.8,5.473067
70.85,4.672117
70.9,3.822568
70.95,3.248201
71,2.651741
71.05,2.17525
71.1,1.795665
71.15,1.599648
71.2,1.38549
71.25,1.126175
71.3,0.9266601
71.35,0.7527853
71.4,0.8061031
71.45,0.8268101
71.5,0.7149547
71.55,0.4417224
71.6,0.2716976
71.65,-2.516948E-02
71.7,-0.1521337
71.75,-0.1370116
71.8,-0.316419
71.85,-0.1972691
71.9,-0.1917049
71.95,-0.370156
72,-0.4849524
72.05,-0.6235302
72.1,-0.8119509
72.15,-0.6267384
72.2,-0.5303653
72.25,-0.811107
72.3,-0.7073992
72.35,-0.6657001
72.4,-0.6842412
72.45,-0.624336
72.5,-0.8809918
72.55,-1.240563
72.6,-1.254892
72.65,-1.095462
72.7,-1.201294
72.75,-1.295877
72.8,-1.410369
72.85,-1.607939
72.9,-1.573392
72.95,-1.704151
73,-1.969005
73.05,-1.861962
73.1,-1.649147
73.15,-1.606221
73.2,-1.622577
73.25,-1.890097
73.3,-2.087117
73.35,-2.076366
73.4,-1.96184
73.45,-1.958645
73.5,-1.940318
73.55,-1.975659
73.6,-2.042069
73.65,-1.997172
73.7,-2.018706
73.75,-1.818367
73.8,-1.624595
73.85,-1.613971
73.9,-1.605191
73.95,-1.74946
74,-1.876687
74.05,-1.863639
74.1,-1.72753
74.15,-1.666456
74.2,-1.563434
74.25,-1.410738
74.3,-1.440189
74.35,-1.59088
74.4,-1.548623
74.45,-1.575618
74.5,-1.525271
74.55,-1.400447
74.6,-1.474694
74.65,-1.654294
74.7,-1.72609
74.75,-1.641953
74.8,-1.686101
74.85,-1.758627
74.9,-1.639762
74.95,-1.691602
75,-1.772891
75.05,-1.85538
75.1,-1.946229
75.15,-2.134246
75.2,-1.958866
75.25,-1.675428
75.3,-1.839193
75.35,-1.983182
75.4,-1.937101
75.45,-2.015105
75.5,-2.159184
75.55,-2.133489
75.6,-2.262949
75.65,-2.371946
75.7,-2.325375
75.75,-2.327404
75.8,-2.238003
75.85,-2.014236
75.9,-1.694222
75.95,-1.521215
76,-1.552078
76.05,-1.872508
76.1,-1.875554
76.15,-1.786726
76.2,-1.70207
76.25,-1.590401
76.3,-1.84709
76.35,-1.927194
76.4,-1.94805
76.45,-1.776279
76.5,-1.393365
76.55,-1.239031
76.6,-1.075256
76.65,-1.314424
76.7,-1.797749
76.75,-2.034533
76.8,-1.999557
76.85,-1.757566
76.9,-1.575437
76.95,-1.436469
77,-1.505911
77.05,-1.303642
77.1,9.864197E-02
77.15,3.914966
77.2,13.51045
77.25,32.18761
77.3,64.26627
77.35,113.3496
77.4,181.4892
77.45,263.6749
77.5,351.4406
77.55,434.1712
77.6,498.9265
77.65,534.803
77.7,538.9086
77.75,514.6874
77.8,463.8059
77.85,391.697
77.9,310.1017
77.95,230.3515
78,162.4574
78.05,110.5594
78.1,74.04593
78.15,50.48707
78.2,37.0518
78.25,28.81899
78.3,22.86202
78.35,18.36746
78.4,14.94309
78.45,12.81694
78.5,11.25554
78.55,9.858533
78.6,8.31717
78.65,6.650997
78.7,5.3308
78.75,4.088807
78.8,3.338554
78.85,2.719806
78.9,2.116854
78.95,1.598501
79,0.9720346
79.05,0.4629006
79.1,0.3354838
79.15,0.1432454
79.2,-6.963741E-02
79.25,-0.4632877
79.3,-0.7993079
79.35,-1.255525
79.4,-1.487448
79.45,-1.577743
79.5,-1.72249
79.55,-1.846527
79.6,-2.103744
79.65,-2.144917
79.7,-2.075002
79.75,-2.0998
79.8,-2.261388
79.85,-2.317314
79.9,-2.339136
79.95,-2.260699
80,-2.26942
80.05,-2.466237
80.1,-2.764975
80.15,-2.836247
80.2,-2.789075
80.25,-2.780564
80.3,-2.633079
80.35,-2.742355
80.4,-2.850241
80.45,-2.785568
80.5,-2.625115
80.55,-2.406824
80.6,-2.39099
80.65,-2.491339
80.7,-2.598053
80.75,-2.610435
80.8,-2.713861
80.85,-2.815237
80.9,-2.98561
80.95,-3.104728
81,-3.019099
81.05,-2.941442
81.1,-3.054973
81.15,-3.083671
81.2,-3.188475
81.25,-3.205239
81.3,-2.925534
81.35,-2.748027
81.4,-2.902449
81.45,-3.128185
81.5,-3.253314
81.55,-3.335372
81.6,-3.293339
81.65,-3.394364
81.7,-3.505538
81.75,-3.659761
81.8,-3.637031
81.85,-3.616559
81.9,-3.618216
81.95,-3.781319
82,-3.744109
82.05,-3.748425
82.1,-3.780902
82.15,-3.613787
82.2,-3.582018
82.25,-3.554581
82.3,-3.368556
82.35,-3.14166
82.4,-2.873391
82.45,-2.551033
82.5,-1.994594
82.55,-0.8418904
82.6,2.157823
82.65,8.048662
82.7,20.67344
82.75,42.78946
82.8,77.04201
82.85,124.0518
82.9,184.3298
82.95,255.8049
83,332.517
83.05,403.6494
83.1,462.6856
83.15,502.3898
83.2,521.8419
83.25,515.8271
83.3,487.5095
83.35,439.4142
83.4,378.9233
83.45,312.9401
83.5,249.2632
83.55,192.6216
83.6,144.0486
83.65,107.0498
83.7,80.8896
83.75,63.53425
83.8,51.63625
83.85,43.73569
83.9,37.12521
83.95,32.25846
84,28.36368
84.05,24.44486
84.1,20.94354
84.15,18.38093
84.2,16.15552
84.25,14.21094
84.3,12.5018
84.35,10.94886
84.4,9.320309
84.45,7.92948
84.5,7.184287
84.55,6.572253
84.6,5.974111
84.65,5.644384
84.7,5.218652
84.75,4.720943
84.8,4.415827
84.85,4.18375
84.9,3.227036
84.95,2.68522
85,2.348484
85.05,2.254834
85.1,2.159629
85.15,1.705868
85.2,1.122423
85.25,0.8159989
85.3,0.8817218
85.35,1.20629
85.4,1.185274
85.45,0.6939532
85.5,0.3241533
85.55,0.1260046
85.6,-0.1146373
85.65,-0.3246577
85.7,-0.4228818
85.75,-0.6913585
85.8,-0.6960003
85.85,-0.3608574
85.9,-0.4940823
85.95,-0.6343032
86,-0.7828265
86.05,-0.9638447
86.1,-1.038159
86.15,-1.02677
86.2,-1.126222
86.25,-1.235549
86.3,-1.517058
86.35,-1.50649
86.4,-1.268786
86.45,-1.049235
86.5,-1.220616
86.55,-1.508411
86.6,-1.737527
86.65,-1.604491
86.7,-0.9757102
86.75,-0.6887859
86.8,-0.9684005
86.85,-1.282004
86.9,-1.454547
86.95,-1.494169
87,-1.438006
87.05,-1.374748
87.1,-1.494806
87.15,-1.466661
87.2,-1.418106
87.25,-1.51258
87.3,-1.581528
87.35,-1.617839
87.4,-1.646096
87.45,-1.300882
87.5,-0.1956699
87.55,1.914502
87.6,5.253177
87.65,11.44988
87.7,22.46458
87.75,41.96774
87.8,71.83558
87.85,115.3505
87.9,171.9041
87.95,240.1834
88,315.2167
88.05,390.8556
88.1,462.293
88.15,524.2598
88.2,567.4448
88.25,589.4673
88.3,583.3494
88.35,558.1745
88.4,517.3645
88.45,466.4753
88.5,406.3196
88.55,339.3115
88.6,272.1389
88.65,210.1289
88.7,158.2895
88.75,118.7061
88.8,90.92618
88.85,70.40651
88.9,54.40102
88.95,41.45285
89,31.5398
89.05,24.84058
89.1,20.12103
89.15,17.28039
89.2,14.63103
89.25,12.1062
89.3,10.06199
89.35,8.799517
89.4,7.725665
89.45,6.922845
89.5,5.825695
89.55,4.845558
89.6,3.82084
89.65,3.051397
89.7,2.33386
89.75,1.909245
89.8,1.387845
89.85,0.7219054
89.9,0.4079901
89.95,0.2741711
90,0.2089358
90.05,0.1712159
90.1,-0.2016346
90.15,-1.012424
90.2,-1.482749
90.25,-1.493354
90.3,-1.400176
90.35,-1.280475
90.4,-0.6445705
90.45,2.07956E-03
90.5,1.533476
90.55,5.110358
90.6,11.45405
90.65,22.7519
90.7,42.55804
90.75,73.40359
90.8,116.4733
90.85,170.1154
90.9,234.577
90.95,306.4427
91,379.1917
91.05,448.1326
91.1,509.6859
91.15,555.6656
91.2,580.5776
91.25,587.3766
91.3,572.0772
91.35,540.1452
91.4,493.5196
91.45,435.0867
91.5,367.8467
91.55,301.6078
91.6,239.3383
91.65,185.2077
91.7,140.141
91.75,105.3079
91.8,80.03011
91.85,61.49095
