Data File Name,Nextera2_jlc_High Sensitivity DNA Assay_DE24802700_2016-09-01_11-31-05.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Thursday, September 01, 2016 6:31:05 PM"
Date Last Modified,"Friday, November 17, 2017 12:23:26 AM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
46.05,2.408346
46.1,2.137549
46.15,1.758481
46.2,1.488441
46.25,1.28731
46.3,1.102625
46.35,0.9061913
46.4,0.8220696
46.45,0.6573402
46.5,0.4954518
46.55,0.3627881
46.6,0.1994914
46.65,1.596856E-02
46.7,-0.1727198
46.75,-0.2945511
46.8,-0.4508459
46.85,-0.5957748
46.9,-0.6275648
46.95,-0.6040775
47,-0.6183334
47.05,-0.6022025
47.1,-0.5370023
47.15,-0.5043083
47.2,-0.4930422
47.25,-0.4043734
47.3,-0.4495116
47.35,-0.5727715
47.4,-0.7260824
47.45,-0.802128
47.5,-0.8063319
47.55,-0.9012644
47.6,-0.9135593
47.65,-0.9534371
47.7,-0.8287939
47.75,-0.6384579
47.8,-0.5298917
47.85,-0.4895045
47.9,-0.5032992
47.95,-0.6302459
48,-0.7276115
48.05,-0.7910441
48.1,-0.7974113
48.15,-0.7790188
48.2,-0.7120107
48.25,-0.591786
48.3,-0.5159914
48.35,-0.5212441
48.4,-0.5894194
48.45,-0.6844595
48.5,-0.6917467
48.55,-0.7029418
48.6,-0.6440391
48.65,-0.5305323
48.7,-0.5515892
48.75,-0.5999858
48.8,-0.7129445
48.85,-0.774598
48.9,-0.8728601
48.95,-1.04275
49,-1.022099
49.05,-0.995556
49.1,-1.078486
49.15,-1.08037
49.2,-1.109111
49.25,-1.144884
49.3,-1.170749
49.35,-1.168665
49.4,-1.129954
49.45,-1.22397
49.5,-1.272505
49.55,-1.218442
49.6,-1.191711
49.65,-1.135867
49.7,-1.040959
49.75,-1.014926
49.8,-1.084344
49.85,-1.073457
49.9,-1.063136
49.95,-1.091966
50,-1.127763
50.05,-1.117341
50.1,-1.160492
50.15,-1.199631
50.2,-1.113737
50.25,-0.9675469
50.3,-0.9356524
50.35,-0.9011411
50.4,-0.9367298
50.45,-0.9444941
50.5,-1.008419
50.55,-1.120087
50.6,-1.121271
50.65,-0.8961089
50.7,-7.073274E-02
50.75,2.721678
50.8,9.390115
50.85,22.295
50.9,43.06471
50.95,71.77399
51,105.7243
51.05,139.534
51.1,165.4379
51.15,176.3863
51.2,169.7655
51.25,146.8446
51.3,113.6426
51.35,78.70463
51.4,49.07182
51.45,28.01789
51.5,15.28237
51.55,9.354674
51.6,6.734367
51.65,5.404463
51.7,4.514213
51.75,3.832773
51.8,3.183681
51.85,2.739895
51.9,2.324626
51.95,1.862362
52,1.329688
52.05,1.023782
52.1,0.6472108
52.15,0.3493257
52.2,0.1245968
52.25,-0.1693683
52.3,-0.3567511
52.35,-0.4017248
52.4,-0.3152739
52.45,-0.1830264
52.5,-0.15576
52.55,-6.454961E-02
52.6,5.131339E-02
52.65,7.741024E-02
52.7,5.143616E-02
52.75,-5.303459E-02
52.8,-0.1583992
52.85,-0.2173385
52.9,-0.1813593
52.95,-5.914665E-02
53,3.723659E-02
53.05,0.1448188
53.1,0.2627529
53.15,0.4017884
53.2,0.4426251
53.25,0.4764823
53.3,0.44301
53.35,0.4734371
53.4,0.4364363
53.45,0.3735944
53.5,0.2229367
53.55,-8.791713E-02
53.6,-0.3596982
53.65,-0.5009601
53.7,-0.6372871
53.75,-0.7484927
53.8,-0.9443914
53.85,-1.014026
53.9,-1.041146
53.95,-1.049914
54,-1.074336
54.05,-1.172155
54.1,-1.366256
54.15,-1.459013
54.2,-1.428876
54.25,-1.380442
54.3,-1.370391
54.35,-1.450872
54.4,-1.613384
54.45,-1.757373
54.5,-1.686693
54.55,-1.473526
54.6,-1.398087
54.65,-1.386333
54.7,-1.470106
54.75,-1.484629
54.8,-1.524273
54.85,-1.466267
54.9,-1.398389
54.95,-1.388281
55,-1.350982
55.05,-1.272007
55.1,-1.250775
55.15,-1.232365
55.2,-1.37637
55.25,-1.348884
55.3,-1.29044
55.35,-1.146379
55.4,-1.084504
55.45,-1.064352
55.5,-0.7140802
55.55,0.3024106
55.6,3.061784
55.65,9.693545
55.7,23.19369
55.75,46.46674
55.8,80.39883
55.85,122.7592
55.9,167.4434
55.95,205.795
56,229.1192
56.05,231.3714
56.1,211.5596
56.15,174.5917
56.2,129.7666
56.25,86.45477
56.3,52.13266
56.35,29.80542
56.4,17.67611
56.45,12.43083
56.5,10.29558
56.55,9.111872
56.6,7.979535
56.65,6.558575
56.7,5.426316
56.75,4.381224
56.8,3.538948
56.85,3.056714
56.9,2.743889
56.95,2.421567
57,2.051895
57.05,1.637985
57.1,1.337856
57.15,1.12274
57.2,0.9876259
57.25,0.8316864
57.3,0.6663672
57.35,0.4751855
57.4,0.1376296
57.45,-8.979202E-02
57.5,-0.2434291
57.55,-0.3226874
57.6,-0.3505141
57.65,-0.269617
57.7,-0.1694435
57.75,-0.2070545
57.8,-0.349337
57.85,-0.4316642
57.9,-0.5699775
57.95,-0.5599723
58,-0.4746718
58.05,-0.4120457
58.1,-0.4056614
58.15,-0.4043172
58.2,-0.4047048
58.25,-0.4896572
58.3,-0.6405205
58.35,-0.7139004
58.4,-0.8002164
58.45,-0.8811803
58.5,-0.8731766
58.55,-0.7897742
58.6,-0.828721
58.65,-0.8763055
58.7,-0.927688
58.75,-0.9684067
58.8,-0.9330823
58.85,-0.8809187
58.9,-0.7389531
58.95,-0.7081563
59,-0.7083743
59.05,-0.7975813
59.1,-0.9471492
59.15,-0.9569473
59.2,-1.027445
59.25,-1.044454
59.3,-0.9366981
59.35,-0.7760654
59.4,-0.64147
59.45,-0.6045409
59.5,-0.6845969
59.55,-0.7783677
59.6,-0.9122293
59.65,-0.86268
59.7,-0.6680624
59.75,-0.5426916
59.8,-0.4851591
59.85,-0.4790912
59.9,-0.5111014
59.95,-0.4384251
60,-0.4281036
60.05,-0.4147358
60.1,-0.3831263
60.15,-0.3238641
60.2,-0.2426099
60.25,-8.362925E-02
60.3,0.4176179
60.35,1.955889
60.4,6.221661
60.45,16.19328
60.5,34.77751
60.55,64.18457
60.6,103.5576
60.65,149.7759
60.7,194.1362
60.75,228.5883
60.8,246.4533
60.85,243.9744
60.9,221.0063
60.95,183.3449
61,139.8146
61.05,98.73726
61.1,65.39056
61.15,43.16364
61.2,30.31231
61.25,23.97488
61.3,20.55108
61.35,18.24632
61.4,16.22949
61.45,14.1866
61.5,12.43
61.55,10.92313
61.6,9.634627
61.65,8.399738
61.7,7.053154
61.75,5.920973
61.8,5.064031
61.85,4.561265
61.9,4.315736
61.95,4.06982
62,3.718643
62.05,3.169513
62.1,2.536996
62.15,2.105446
62.2,1.854882
62.25,1.916377
62.3,1.901985
62.35,1.822699
62.4,1.542558
62.45,1.254859
62.5,1.02772
62.55,0.834664
62.6,0.8342135
62.65,0.7020136
62.7,0.5783479
62.75,0.5601236
62.8,0.6151581
62.85,0.6820643
62.9,0.7100372
62.95,0.7520912
63,0.6777152
63.05,0.5209385
63.1,0.4610271
63.15,0.4326742
63.2,0.4418017
63.25,0.4730268
63.3,0.5134835
63.35,0.5327799
63.4,0.433676
63.45,0.3976024
63.5,0.3175767
63.55,0.2633775
63.6,0.2661825
63.65,0.2928746
63.7,0.3145198
63.75,0.3130011
63.8,0.2577223
63.85,0.1523257
