Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Tuesday, March 06, 2018 11:11:01 PM"
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
45.2,175.7155
45.25,203.2744
45.3,212.0014
45.35,198.9644
45.4,168.1519
45.45,128.0664
45.5,87.24939
45.55,53.57751
45.6,29.92792
45.65,15.63209
45.7,8.278041
45.75,5.01253
45.8,3.788368
45.85,3.199874
45.9,2.719835
45.95,2.272052
46,1.835283
46.05,1.519971
46.1,1.299403
46.15,1.114988
46.2,1.063845
46.25,1.047428
46.3,0.9833604
46.35,0.8822523
46.4,0.6571502
46.45,0.3731855
46.5,5.001436E-02
46.55,-0.2396129
46.6,-0.3894258
46.65,-0.5356631
46.7,-0.5842417
46.75,-0.6767077
46.8,-0.7658337
46.85,-0.7866088
46.9,-0.7010258
46.95,-0.6597334
47,-0.5030237
47.05,-0.4970769
47.1,-0.6976333
47.15,-0.8311582
47.2,-0.9300689
47.25,-0.847314
47.3,-0.7533668
47.35,-0.7162417
47.4,-0.7031726
47.45,-0.8579754
47.5,-0.910468
47.55,-0.8447921
47.6,-0.7036355
47.65,-0.6140816
47.7,-0.6043555
47.75,-0.5659366
47.8,-0.5234206
47.85,-0.4839754
47.9,-0.4598366
47.95,-0.4610904
48,-0.5093509
48.05,-0.5857572
48.1,-0.5566292
48.15,-0.5101845
48.2,-0.4385539
48.25,-0.3713055
48.3,-0.3213068
48.35,-0.3415131
48.4,-0.3937895
48.45,-0.3639227
48.5,-0.3617987
48.55,-0.3874625
48.6,-0.4083507
48.65,-0.5058416
48.7,-0.5486959
48.75,-0.6603667
48.8,-0.7191052
48.85,-0.7669522
48.9,-0.8210563
48.95,-0.8262916
49,-0.613107
49.05,-0.399843
49.1,-0.3195971
49.15,-0.3755774
49.2,-0.4855999
49.25,-0.6129565
49.3,-0.6093323
49.35,-0.5112288
49.4,-0.4035307
49.45,-0.4922739
49.5,-0.5443636
49.55,-0.5297263
49.6,-0.5559586
49.65,-0.518992
49.7,-0.3731104
49.75,-0.241294
49.8,-0.1244297
49.85,-0.0322501
49.9,-7.996367E-02
49.95,-0.1634195
50,-0.2327283
50.05,-0.1862702
50.1,-6.595352E-02
50.15,0.1130311
50.2,0.1970291
50.25,7.790381E-02
50.3,2.121401E-02
50.35,0.3240368
50.4,1.801394
50.45,6.467721
50.5,17.28986
50.55,37.77861
50.6,71.6352
50.65,118.5965
50.7,173.197
50.75,225.208
50.8,260.9903
50.85,269.6198
50.9,248.4889
50.95,203.6456
51,148.3295
51.05,95.7606
51.1,55.25394
51.15,29.82619
51.2,16.17893
51.25,10.23951
51.3,7.924554
51.35,6.609849
51.4,5.970057
51.45,5.372993
51.5,5.111539
51.55,5.232539
51.6,5.26626
51.65,5.27427
51.7,4.855014
51.75,4.431247
51.8,3.83455
51.85,3.228155
51.9,2.689482
51.95,2.213873
52,1.756287
52.05,1.235376
52.1,0.788694
52.15,0.5764227
52.2,0.4116029
52.25,0.3386822
52.3,0.3801844
52.35,0.4169251
52.4,0.3929383
52.45,0.4144317
