Data File Name,Nexterajlc_High Sensitivity DNA Assay_DE24802700_2017-11-14_10-57-20.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy
Date Created,"Tuesday, November 14, 2017 6:57:20 PM"
Date Last Modified,"Tuesday, December 05, 2017 9:51:38 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
45.65,16.36648
45.7,10.17186
45.75,7.163069
45.8,5.600317
45.85,4.632855
45.9,3.898343
45.95,3.508919
46,3.16153
46.05,2.994481
46.1,2.828985
46.15,2.662485
46.2,2.589906
46.25,2.572204
46.3,2.593456
46.35,2.589802
46.4,2.443972
46.45,2.191093
46.5,1.841041
46.55,1.462035
46.6,1.168247
46.65,0.9428436
46.7,0.7783879
46.75,0.7162642
46.8,0.6591674
46.85,0.6643293
46.9,0.6767729
46.95,0.6072266
47,0.6110535
47.05,0.6351743
47.1,0.6506848
47.15,0.7043833
47.2,0.6706436
47.25,0.646156
47.3,0.5952571
47.35,0.4760191
47.4,0.4339275
47.45,0.4579436
47.5,0.4774785
47.55,0.5017583
47.6,0.5334154
47.65,0.5234784
47.7,0.4376398
47.75,0.3003608
47.8,0.1777188
47.85,0.1841908
47.9,0.1823287
47.95,0.249552
48,0.3682861
48.05,0.4641896
48.1,0.4609163
48.15,0.437695
48.2,0.4500708
48.25,0.4323229
48.3,0.415895
48.35,0.4282676
48.4,0.4093906
48.45,0.3807128
48.5,0.3923507
48.55,0.4214392
48.6,0.4416063
48.65,0.4616448
48.7,0.4844327
48.75,0.5089837
48.8,0.4936237
48.85,0.4407856
48.9,0.4266969
48.95,0.3654445
49,0.3285675
49.05,0.3342643
49.1,0.3502743
49.15,0.3643683
49.2,0.3406546
49.25,0.3047936
49.3,0.2912384
49.35,0.2531779
49.4,0.2373234
49.45,0.2303787
49.5,0.2484378
49.55,0.2770942
49.6,0.2718122
49.65,0.2494239
49.7,0.2365722
49.75,0.2439501
49.8,0.2422904
49.85,0.2702947
49.9,0.2872913
49.95,0.236775
50,0.2162781
50.05,0.179749
50.1,0.1411187
50.15,0.131812
50.2,0.2171845
50.25,0.6545282
50.3,2.42265
50.35,6.961402
50.4,16.62478
50.45,33.30423
50.5,58.31798
50.55,90.85743
50.6,127.4638
50.65,162.2633
50.7,187.5854
50.75,197.2547
50.8,188.5803
50.85,163.7022
50.9,128.6946
50.95,91.72167
51,59.66165
51.05,37.11083
51.1,22.86752
51.15,15.05869
51.2,11.08373
51.25,8.947697
51.3,7.561018
51.35,6.475682
51.4,5.717337
51.45,5.145756
51.5,4.700264
51.55,4.366422
51.6,4.078934
51.65,3.828451
51.7,3.613504
51.75,3.430821
51.8,3.195086
51.85,2.919408
51.9,2.575509
51.95,2.223584
52,1.856277
52.05,1.542156
52.1,1.178185
52.15,0.8522608
52.2,0.6003833
52.25,0.4748708
52.3,0.3828377
52.35,0.2683591
52.4,0.195258
52.45,0.1141647
52.5,1.403046E-02
52.55,-3.853793E-02
52.6,-3.758021E-02
52.65,-2.345576E-02
52.7,-2.485478E-02
52.75,-7.345796E-02
52.8,-0.1427734
52.85,-0.1457319
52.9,-0.1445329
52.95,-8.512119E-02
53,-8.816528E-02
53.05,-0.0686251
53.1,-9.334502E-02
53.15,-0.1570517
53.2,-0.1884529
53.25,-0.2074893
53.3,-0.2020293
53.35,-0.2105621
53.4,-0.1877535
53.45,-0.1633308
53.5,-0.1650234
53.55,-0.1480698
53.6,-0.1191836
53.65,-0.125055
53.7,-0.1413406
53.75,-0.1645455
53.8,-0.2370436
53.85,-0.2914507
53.9,-0.3378589
53.95,-0.3535456
54,-0.3700562
54.05,-0.4788318
54.1,-0.4573813
54.15,-0.4679541
54.2,-0.4660063
54.25,-0.4316284
54.3,-0.4280625
54.35,-0.4844609
54.4,-0.510922
54.45,-0.5468976
54.5,-0.5498067
54.55,-0.5293106
54.6,-0.5209711
54.65,-0.4880943
54.7,-0.4749817
54.75,-0.4531762
54.8,-0.3767349
54.85,-0.3209895
54.9,-0.1641449
54.95,0.5843734
55,2.773178
55.05,9.121592
55.1,21.99126
55.15,42.99342
55.2,73.51721
55.25,112.2809
55.3,154.1508
55.35,191.2875
55.4,215.9808
55.45,222.8114
55.5,209.9832
55.55,180.5371
55.6,141.729
55.65,102.0561
55.7,68.04036
