Data File Name,nextera_nk_0124_High Sensitivity DNA Assay_DE24802700_2018-01-23_12-13-37.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, January 23, 2018 8:13:37 PM",,
Date Last Modified,"Tuesday, January 23, 2018 10:22:26 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
42.9,163.4543,,
42.95,196.1477,,
43,214.6636,,
43.05,212.6393,,
43.1,191.0337,,
43.15,155.6036,,
43.2,114.6023,,
43.25,76.23676,,
43.3,45.69621,,
43.35,24.53647,,
43.4,12.00004,,
43.45,5.198401,,
43.5,2.163008,,
43.55,1.147167,,
43.6,0.8413073,,
43.65,0.5729313,,
43.7,0.1337441,,
43.75,-0.2398674,,
43.8,-0.5064309,,
43.85,-0.5521008,,
43.9,-0.4583584,,
43.95,-0.2829545,,
44,-0.4043774,,
44.05,-0.4719631,,
44.1,-0.6248258,,
44.15,-0.6774375,,
44.2,-0.7799158,,
44.25,-0.8934863,,
44.3,-0.9695438,,
44.35,-1.129974,,
44.4,-1.112951,,
44.45,-1.115435,,
44.5,-0.8828003,,
44.55,-0.9333754,,
44.6,-0.7824669,,
44.65,-0.692786,,
44.7,-0.5137197,,
44.75,-0.4078701,,
44.8,-0.3381582,,
44.85,-0.2277247,,
44.9,-0.2828714,,
44.95,-0.2491783,,
45,-0.3594109,,
45.05,-0.2297503,,
45.1,-0.2173923,,
45.15,-0.1799968,,
45.2,-0.1990703,,
45.25,-0.1878249,,
45.3,-0.2305554,,
45.35,-0.3224715,,
45.4,-0.3645695,,
45.45,-0.4485997,,
45.5,-0.6101996,,
45.55,-0.7797745,,
45.6,-0.6367912,,
45.65,-0.7475923,,
45.7,-0.8451778,,
45.75,-0.9595582,,
45.8,-0.8844166,,
45.85,-0.7605878,,
45.9,-0.6093392,,
45.95,-0.5301315,,
46,-0.5903639,,
46.05,-0.4469384,,
46.1,-0.5102554,,
46.15,-0.4522411,,
46.2,-0.2572925,,
46.25,-0.2404008,,
46.3,-0.2325937,,
46.35,-0.1915818,,
46.4,-0.1378004,,
46.45,-0.1762711,,
46.5,-0.1817779,,
46.55,-0.1901422,,
46.6,-0.2993607,,
46.65,-0.3261978,,
46.7,-0.3211868,,
46.75,-0.4186115,,
46.8,-0.546874,,
46.85,-0.687987,,
46.9,-0.8427764,,
46.95,-0.846234,,
47,-1.022969,,
47.05,-1.040087,,
47.1,-1.102833,,
47.15,-1.031052,,
47.2,-1.184775,,
47.25,-1.306971,,
47.3,-1.187683,,
47.35,-1.170916,,
47.4,-1.12418,,
47.45,-1.183643,,
47.5,-1.198513,,
47.55,-1.489559,,
47.6,-1.480176,,
47.65,-1.275728,,
47.7,-1.077133,,
47.75,-0.9520459,,
47.8,-0.9947485,,
47.85,-1.176955,,
47.9,-1.410728,,
47.95,-1.590243,,
48,-1.699193,,
48.05,-1.76194,,
48.1,-1.753305,,
48.15,-1.655013,,
48.2,-1.565515,,
48.25,-1.612839,,
48.3,-1.743412,,
48.35,-1.833872,,
48.4,-1.851053,,
48.45,-1.727721,,
48.5,-1.502269,,
48.55,-1.340796,,
48.6,-1.308173,,
48.65,-1.1372,,
48.7,-0.8554722,,
48.75,-0.7702973,,
48.8,-0.8094258,,
48.85,-0.8774034,,
48.9,-0.9767997,,
48.95,-1.136227,,
49,-1.28287,,
49.05,-1.220123,,
49.1,-1.124616,,
49.15,-1.056284,,
49.2,-0.9639099,,
49.25,-0.8984772,,
49.3,-1.080293,,
49.35,-1.251666,,
49.4,-1.313414,,
49.45,-1.371595,,
49.5,-1.339257,,
49.55,-1.223904,,
49.6,-1.239727,,
49.65,-1.310125,,
49.7,-1.33909,,
49.75,-1.334722,,
49.8,-1.312065,,
49.85,-1.325834,,
49.9,-1.373829,,
49.95,-1.529279,,
50,-1.6094,,
50.05,-1.559991,,
50.1,-1.569259,,
50.15,-1.486373,,
50.2,-1.306064,,
50.25,-1.186706,,
50.3,-1.131791,,
50.35,-1.101627,,
50.4,-1.101678,,
50.45,-1.238518,,
50.5,-1.181492,,
50.55,-0.9796256,,
50.6,-0.8771288,,
50.65,-0.8351835,,
50.7,-0.9347599,,
50.75,-1.029034,,
50.8,-1.117904,,
50.85,-1.088852,,
50.9,-1.002924,,
50.95,-1.004049,,
51,-1.165043,,
51.05,-1.326378,,
51.1,-1.360103,,
51.15,-1.281816,,
51.2,-1.248712,,
51.25,-1.082815,,
51.3,-0.9692688,,
51.35,-0.901006,,
51.4,-1.076315,,
51.45,-1.248702,,
51.5,-1.299177,,
51.55,-1.438252,,
51.6,-1.461646,,
51.65,-1.49745,,
51.7,-1.593794,,
51.75,-1.681664,,
51.8,-1.618588,,
51.85,-1.488664,,
51.9,-1.463034,,
51.95,-1.407811,,
52,-1.396464,,
52.05,-1.435032,,
52.1,-1.444526,,
52.15,-1.410612,,
52.2,-1.131985,,
52.25,-0.8363888,,
52.3,-0.609057,,
52.35,-0.590057,,
52.4,-0.7436862,,
52.45,-0.9212544,,
52.5,-1.032436,,
52.55,-0.9524379,,
52.6,-0.823668,,
52.65,-0.6170234,,
52.7,-0.6526235,,
52.75,-0.7211373,,
52.8,-0.8502182,,
52.85,-0.967752,,
52.9,-1.063782,,
52.95,-1.025929,,
53,-0.9829322,,
53.05,-1.042678,,
53.1,-1.08251,,
53.15,-1.142791,,
53.2,-1.086082,,
53.25,-1.174163,,
53.3,-1.12798,,
53.35,-1.247962,,
53.4,-1.489068,,
53.45,-1.551567,,
53.5,-1.451102,,
53.55,-1.381743,,
53.6,-1.38785,,
53.65,-1.395574,,
53.7,-1.514604,,
53.75,-1.676436,,
53.8,-1.522385,,
53.85,-1.257185,,
53.9,-1.145563,,
53.95,-1.148858,,
54,-1.153375,,
54.05,-1.270507,,
54.1,-1.240986,,
54.15,-1.083478,,
54.2,-0.8963322,,
54.25,-0.8515295,,
54.3,-0.8739718,,
54.35,-0.9095916,,
54.4,-1.041684,,
54.45,-0.995234,,
54.5,-0.8308496,,
54.55,-0.692461,,
54.6,-0.5997912,,
54.65,-0.581384,,
54.7,-0.6885115,,
54.75,-0.8437142,,
54.8,-0.8456957,,
54.85,-0.8146374,,
54.9,-0.8441562,,
54.95,-0.6954976,,
55,-0.674571,,
55.05,-0.8266072,,
55.1,-0.8982272,,
55.15,-1.100648,,
55.2,-1.383586,,
55.25,-1.512633,,
55.3,-1.479243,,
55.35,-1.627391,,
55.4,-1.628535,,
55.45,-1.510444,,
55.5,-1.411095,,
55.55,-1.340583,,
55.6,-1.379191,,
55.65,-1.381158,,
55.7,-1.405873,,
55.75,-1.508786,,
55.8,-1.440294,,
55.85,-1.26283,,
55.9,-1.169713,,
55.95,-1.257303,,
56,-1.262827,,
56.05,-1.314153,,
56.1,-1.249342,,
56.15,-1.14905,,
56.2,-0.9218246,,
56.25,-0.7957975,,
56.3,-0.7842641,,
56.35,-0.7092053,,
56.4,-0.6095344,,
56.45,-0.5613418,,
56.5,-0.5955834,,
56.55,-0.6151837,,
56.6,-0.6710483,,
56.65,-0.8471338,,
56.7,-0.9629598,,
56.75,-1.087775,,
56.8,-1.010505,,
56.85,-0.9048151,,
56.9,-0.7608067,,
56.95,-0.6358829,,
57,-0.7308559,,
57.05,-0.9586987,,
57.1,-1.203671,,
57.15,-1.306983,,
57.2,-1.402536,,
57.25,-1.304907,,
57.3,-1.219267,,
57.35,-1.227847,,
57.4,-1.242158,,
57.45,-1.128215,,
57.5,-0.9047049,,
57.55,-0.7020205,,
57.6,-0.6663542,,
57.65,-0.7770718,,
57.7,-0.9820052,,
57.75,-1.10701,,
57.8,-0.9360878,,
57.85,-0.7705631,,
57.9,-0.5578061,,
57.95,-0.5168799,,
58,-0.4921823,,
58.05,-0.4464845,,
58.1,-0.4147033,,
58.15,-0.2806853,,
58.2,-2.89E-02,,
58.25,0.2165174,,
58.3,0.2629363,,
58.35,0.2529748,,
58.4,0.1917931,,
58.45,0.1902908,,
58.5,0.1566324,,
58.55,0.1763003,,
58.6,0.1939776,,
58.65,0.2003988,,
58.7,0.3134652,,
58.75,0.5353415,,
58.8,0.5756696,,
58.85,0.4977048,,
58.9,0.4074747,,
58.95,0.3577709,,
59,0.404676,,
59.05,0.5186426,,
59.1,0.4718519,,
59.15,0.3464996,,
59.2,0.3931481,,
59.25,0.5788283,,
59.3,0.9173655,,
59.35,1.059655,,
59.4,1.177468,,
59.45,1.350763,,
59.5,1.597865,,
59.55,1.711924,,
59.6,1.83218,,
59.65,1.902408,,
59.7,1.835467,,
59.75,2.109414,,
59.8,2.387046,,
59.85,2.76231,,
59.9,3.043586,,
59.95,3.287368,,
60,3.384339,,
60.05,3.470227,,
60.1,3.51939,,
60.15,3.587159,,
60.2,3.812536,,
60.25,4.412241,,
60.3,4.509066,,
60.35,4.581878,,
60.4,4.536308,,
60.45,4.557886,,
60.5,4.603892,,
60.55,4.769147,,
60.6,5.009684,,
60.65,4.919319,,
60.7,4.856278,,
60.75,4.717137,,
60.8,4.833887,,
60.85,4.949132,,
60.9,4.979535,,
60.95,5.20641,,
61,5.319051,,
61.05,5.39338,,
61.1,5.510736,,
61.15,5.516465,,
61.2,5.583982,,
61.25,5.676808,,
61.3,5.77315,,
61.35,6.164496,,
61.4,6.597213,,
61.45,6.770887,,
61.5,7.014685,,
61.55,7.362264,,
61.6,7.522975,,
61.65,7.688144,,
61.7,7.712942,,
61.75,7.689735,,
61.8,7.545104,,
61.85,7.862475,,
61.9,8.405674,,
61.95,8.813806,,
62,9.127419,,
62.05,9.236721,,
62.1,9.058658,,
62.15,8.908518,,
62.2,9.098523,,
62.25,9.358371,,
62.3,9.503051,,
62.35,9.717024,,
62.4,9.83792,,
62.45,9.610247,,
62.5,9.574907,,
62.55,9.781345,,
62.6,10.12657,,
62.65,10.61052,,
62.7,10.90164,,
62.75,10.73213,,
62.8,10.40892,,
62.85,10.17943,,
62.9,9.977328,,
62.95,10.31245,,
63,10.83366,,
63.05,11.2293,,
63.1,11.51875,,
63.15,11.99005,,
63.2,12.49535,,
63.25,12.86058,,
63.3,13.08069,,
63.35,13.2766,,
63.4,13.36629,,
63.45,13.33636,,
63.5,13.35165,,
63.55,13.4122,,
63.6,13.50744,,
63.65,13.68684,,
63.7,14.14939,,
63.75,14.44734,,
63.8,14.2635,,
63.85,14.01751,,
63.9,14.00265,,
63.95,14.22322,,
64,14.72662,,
64.05,15.19703,,
64.1,15.65727,,
64.15,15.91744,,
64.2,16.1021,,
64.25,16.03501,,
64.3,15.92716,,
64.35,16.03046,,
64.4,16.02182,,
64.45,16.39308,,
64.5,17.07131,,
64.55,17.98289,,
64.6,19.00067,,
64.65,20.00719,,
64.7,20.81329,,
64.75,20.93121,,
64.8,21.12418,,
64.85,20.64345,,
64.9,20.54065,,
64.95,20.74461,,
65,20.75378,,
65.05,20.61308,,
65.1,20.40429,,
65.15,20.06388,,
65.2,19.45177,,
65.25,19.42364,,
65.3,19.24796,,
65.35,19.19413,,
65.4,19.13723,,
65.45,19.06997,,
65.5,18.82776,,
65.55,18.6416,,
65.6,18.78566,,
65.65,19.03263,,
65.7,19.35326,,
65.75,19.25423,,
65.8,19.38772,,
65.85,19.42192,,
65.9,19.91988,,
65.95,20.48415,,
66,20.92766,,
66.05,21.30089,,
66.1,21.69953,,
66.15,22.20166,,
66.2,22.49856,,
66.25,22.57838,,
66.3,22.52427,,
66.35,22.54375,,
66.4,22.64507,,
66.45,22.4999,,
66.5,22.24519,,
66.55,22.17307,,
66.6,22.26729,,
66.65,22.47059,,
66.7,22.80781,,
66.75,22.83669,,
66.8,22.3527,,
66.85,21.95903,,
66.9,21.6879,,
66.95,21.93175,,
67,22.20551,,
67.05,22.61411,,
67.1,22.73353,,
67.15,22.38132,,
