Data File Name,nextera11_jlc_High Sensitivity DNA Assay_DE24802700_2017-07-26_15-45-18.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Wednesday, July 26, 2017 10:45:18 PM",,
Date Last Modified,"Thursday, November 16, 2017 8:08:50 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,nexterapool0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,-4.73E-04,10,1640
32.05,-6.45E-03,,
32.1,5.10E-03,,
32.15,3.29E-02,,
32.2,3.31E-02,,
32.25,2.05E-02,,
32.3,-1.81E-02,,
32.35,-5.49E-02,,
32.4,-8.07E-02,,
32.45,-8.09E-02,,
32.5,-3.14E-02,,
32.55,5.71E-03,,
32.6,2.21E-02,,
32.65,4.83E-02,,
32.7,6.14E-02,,
32.75,4.35E-02,,
32.8,8.52E-03,,
32.85,-1.97E-02,,
32.9,-1.54E-02,,
32.95,1.99E-02,,
33,0.0671038,,
33.05,9.92E-02,,
33.1,7.87E-02,,
33.15,2.20E-02,,
33.2,-3.61E-02,,
33.25,-6.40E-02,,
33.3,-3.54E-02,,
33.35,0.0328517,,
33.4,6.80E-02,,
33.45,6.83E-02,,
33.5,6.89E-02,,
33.55,3.82E-02,,
33.6,-1.78E-03,,
33.65,-1.49E-02,,
33.7,1.11E-02,,
33.75,1.17E-02,,
33.8,-1.18E-03,,
33.85,1.01E-02,,
33.9,-1.13E-02,,
33.95,-6.11E-02,,
34,-8.48E-02,,
34.05,-8.10E-02,,
34.1,-3.94E-02,,
34.15,-3.81E-04,,
34.2,2.18E-02,,
34.25,1.02E-03,,
34.3,-4.65E-02,,
34.35,-7.19E-02,,
34.4,-8.12E-02,,
34.45,-4.45E-02,,
34.5,4.26E-03,,
34.55,1.75E-02,,
34.6,1.03E-02,,
34.65,2.32E-03,,
34.7,1.04E-02,,
34.75,1.14E-02,,
34.8,1.00E-02,,
34.85,2.72E-03,,
34.9,-4.70E-02,,
34.95,-9.07E-02,,
35,-9.86E-02,,
35.05,-0.1271317,,
35.1,-0.1159409,,
35.15,-0.108259,,
35.2,-9.74E-02,,
35.25,-0.084969,,
35.3,-9.07E-02,,
35.35,-9.41E-02,,
35.4,-9.58E-02,,
35.45,-0.1075316,,
35.5,-8.53E-02,,
35.55,-8.28E-02,,
35.6,-7.32E-02,,
35.65,-6.93E-02,,
35.7,-6.39E-02,,
35.75,-4.43E-02,,
35.8,-2.76E-02,,
35.85,-2.74E-02,,
35.9,-0.0273222,,
35.95,-2.71E-02,,
36,-4.91E-02,,
36.05,-6.49E-02,,
36.1,-5.37E-02,,
36.15,-0.0466146,,
36.2,-7.95E-02,,
36.25,-0.1165387,,
36.3,-0.1219359,,
36.35,-0.1025811,,
36.4,-6.76E-02,,
36.45,-3.23E-02,,
36.5,-2.57E-02,,
36.55,-6.59E-02,,
36.6,-0.1188504,,
36.65,-0.1399537,,
36.7,-0.1631382,,
36.75,-0.1559197,,
36.8,-0.1337493,,
36.85,-0.1046928,,
