Data File Name,NK_20170705_High Sensitivity DNA Assay_DE24802700_2017-07-05_15-31-53.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan
Date Created,"Wednesday, July 05, 2017 10:31:53 PM"
Date Last Modified,"Wednesday, July 05, 2017 11:23:33 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,-4.157555E-02
32.05,-2.257659E-02
32.1,4.259162E-02
32.15,8.659793E-02
32.2,0.1021799
32.25,0.1114503
32.3,0.1119639
32.35,0.1496861
32.4,0.1228134
32.45,0.1732612
32.5,0.1877504
32.55,0.1875298
32.6,0.1796344
32.65,0.134549
32.7,6.809323E-02
32.75,2.027714E-02
32.8,3.833615E-02
32.85,0.1013979
32.9,0.1477939
32.95,0.2202939
33,0.2957631
33.05,0.2887128
33.1,0.2499366
33.15,0.2108483
33.2,0.1658171
33.25,0.1138239
33.3,6.575213E-02
33.35,4.101753E-02
33.4,3.174147E-02
33.45,-1.092619E-02
33.5,0.0815187
33.55,0.1455755
33.6,8.560436E-02
33.65,6.952493E-02
33.7,4.625969E-02
33.75,-1.722782E-03
33.8,2.175249E-02
33.85,0.0973395
33.9,0.1785322
33.95,0.2083178
34,0.1398422
34.05,0.1045337
34.1,7.362823E-02
34.15,5.176905E-02
34.2,0.0782077
34.25,0.1269778
34.3,0.1511115
34.35,0.1763718
34.4,0.1847928
34.45,0.1434848
34.5,0.1517638
34.55,0.1916411
34.6,0.2581187
34.65,0.3309586
34.7,0.3568853
34.75,0.3459967
34.8,0.3377903
34.85,0.2293366
34.9,0.1576605
34.95,0.1212841
35,0.1216082
35.05,0.1029343
35.1,6.091778E-02
35.15,9.447825E-02
35.2,0.115853
35.25,7.826031E-02
35.3,9.038359E-02
35.35,0.1182247
35.4,0.1391899
35.45,0.1756716
35.5,0.2152997
35.55,0.2536503
35.6,0.2738405
35.65,0.295832
35.7,0.3162223
35.75,0.294154
35.8,0.264289
35.85,0.2571141
35.9,0.2489364
35.95,0.2074521
36,0.2303549
36.05,0.2936458
36.1,0.3299702
36.15,0.3814147
36.2,0.5048671
36.25,0.5511119
36.3,0.5384624
36.35,0.4323395
36.4,0.3234956
36.45,0.1927421
36.5,9.541985E-02
36.55,5.320371E-02
36.6,2.167232E-02
36.65,0.0150159
36.7,6.279623E-02
36.75,8.590478E-02
36.8,9.780049E-02
36.85,0.1442742
36.9,0.1635402
36.95,0.1254479
37,8.665261E-02
37.05,0.1029434
37.1,0.1396699
37.15,0.1304637
37.2,0.1259792
37.25,0.1616071
37.3,0.1933749
37.35,0.18446
37.4,0.1629213
37.45,0.1686783
37.5,0.2017272
37.55,0.2604737
37.6,0.3193613
37.65,0.282791
37.7,0.2404294
37.75,0.1507242
37.8,0.1037812
37.85,5.879803E-02
37.9,4.055307E-02
37.95,8.756817E-02
38,0.1484961
38.05,0.1974633
38.1,0.2778705
38.15,0.3307589
38.2,0.3666868
38.25,0.352843
38.3,0.3128468
38.35,0.3014808
38.4,0.2779176
38.45,0.2200919
38.5,0.1822262
38.55,0.2045095
38.6,0.2480024
38.65,0.2850557
38.7,0.2803399
38.75,0.2644326
38.8,0.2603971
38.85,0.2276794
38.9,0.1701157
38.95,0.1240855
39,0.1105251
39.05,9.093466E-02
39.1,0.1322953
39.15,0.1330054
39.2,0.1533937
39.25,0.2181019
39.3,0.2148551
39.35,0.2384282
39.4,0.2689867
39.45,0.2356162
39.5,0.2122925
39.55,0.1663744
39.6,0.1064937
39.65,7.195119E-02
39.7,6.649639E-02
39.75,8.918248E-02
39.8,0.1161395
39.85,0.1313931
39.9,0.1462529
39.95,0.1619972
40,0.1050567
40.05,5.909125E-02
40.1,4.384363E-02
40.15,7.438608E-02
40.2,6.852368E-02
40.25,0.1045031
40.3,0.1097179
40.35,0.1442579
40.4,0.1415624
40.45,0.1011761
40.5,5.208587E-02
40.55,8.928714E-02
40.6,0.1268604
40.65,0.1758402
40.7,0.2362195
40.75,0.2183003
40.8,0.1314735
40.85,5.741834E-02
40.9,5.162823E-02
40.95,0.1173829
41,0.1688516
41.05,0.1852531
41.1,0.190137
41.15,0.1811942
41.2,0.2046552
41.25,0.2273436
41.3,0.1898044
41.35,0.1078904
41.4,5.596901E-02
41.45,-9.967398E-03
41.5,-2.614146E-02
41.55,3.830424E-02
41.6,4.556563E-02
41.65,-2.689277E-02
41.7,-8.659134E-03
41.75,-7.795041E-02
41.8,-0.1029697
41.85,-0.1188401
41.9,-0.1443316
41.95,-0.1156367
42,-6.976062E-02
42.05,-3.646063E-02
42.1,-2.321599E-02
42.15,-7.249324E-02
42.2,-0.1306777
42.25,-0.1755567
42.3,-0.178313
42.35,-6.124238E-02
42.4,0.1928841
42.45,0.6054098
42.5,1.42702
42.55,3.09613
42.6,6.097176
42.65,11.0317
42.7,18.30645
42.75,27.81342
42.8,38.82317
42.85,49.98666
42.9,59.32875
42.95,65.03137
43,65.91071
43.05,61.84723
43.1,53.75671
43.15,43.29441
43.2,32.3927
43.25,22.54565
43.3,14.49883
43.35,8.623071
43.4,4.887969
43.45,2.806486
43.5,1.684989
43.55,1.05992
43.6,0.7438315
43.65,0.5331514
43.7,0.319666
43.75,0.146204
43.8,4.729287E-02
43.85,-1.023268E-02
43.9,-7.172777E-02
43.95,-0.1166852
44,-0.1466395
44.05,-0.1178232
44.1,-0.1136344
44.15,-0.107007
44.2,-0.1130957
44.25,-8.376905E-02
44.3,-0.0629942
44.35,-0.0708689
44.4,-0.1623169
44.45,-0.2706238
44.5,-0.3246185
44.55,-0.2523805
44.6,-1.167059E-02
44.65,0.6886324
44.7,2.244889
44.75,5.394124
44.8,10.86592
44.85,19.49082
44.9,31.53494
44.95,46.33083
45,62.13806
45.05,76.54098
45.1,86.93045
45.15,91.09917
45.2,88.05351
45.25,78.54065
45.3,64.83424
45.35,49.53826
45.4,35.06572
45.45,23.25452
45.5,14.67019
45.55,9.045656
45.6,5.523249
45.65,3.488384
45.7,2.452757
45.75,1.80297
45.8,1.359526
45.85,1.070002
45.9,0.8177269
45.95,0.7272379
46,0.6706185
46.05,0.5902458
46.1,0.5095707
46.15,0.412322
46.2,0.2861742
46.25,0.1252756
46.3,2.448642E-02
46.35,-2.798169E-03
46.4,-2.529991E-02
46.45,-8.722262E-02
46.5,-0.1548641
46.55,-0.1826017
46.6,-0.2438473
46.65,-0.338844
46.7,-0.3891398
46.75,-0.4900921
46.8,-0.5814236
46.85,-0.5863317
46.9,-0.6068479
46.95,-0.5869794
47,-0.5720685
47.05,-0.5643995
47.1,-0.581527
47.15,-0.6901586
47.2,-0.74603
47.25,-0.758467
47.3,-0.8211446
47.35,-0.8741658
47.4,-0.8822507
47.45,-0.8031809
47.5,-0.7581112
47.55,-0.7452537
47.6,-0.7255954
47.65,-0.7112854
47.7,-0.72162
47.75,-0.7532285
47.8,-0.7902235
47.85,-0.7947183
47.9,-0.8050169
47.95,-0.8892066
48,-0.939187
48.05,-0.9393352
48.1,-0.9022557
48.15,-0.8389756
48.2,-0.7974108
48.25,-0.7976956
48.3,-0.8212895
48.35,-0.8793822
48.4,-0.9086354
48.45,-0.8808312
48.5,-0.8522325
48.55,-0.7947329
48.6,-0.7485555
48.65,-0.685764
48.7,-0.6161705
48.75,-0.6413453
48.8,-0.740512
48.85,-0.8539641
48.9,-0.9194056
48.95,-0.914683
49,-0.8956974
49.05,-0.8188854
49.1,-0.7362691
49.15,-0.7765131
49.2,-0.8854653
49.25,-0.9729321
49.3,-1.026178
49.35,-1.050052
49.4,-1.094929
49.45,-1.12575
49.5,-1.139612
49.55,-1.220877
49.6,-1.298243
49.65,-1.157342
49.7,-0.8424598
49.75,0.2672059
49.8,2.911921
49.85,8.445315
49.9,18.68757
49.95,33.9812
50,53.74727
50.05,75.73198
50.1,96.27657
50.15,111.2258
50.2,117.1905
50.25,113.2379
50.3,100.4814
50.35,81.76665
50.4,61.29757
50.45,42.71282
50.5,27.97474
50.55,17.60387
50.6,10.96785
50.65,6.972879
50.7,4.549456
50.75,2.932803
50.8,1.967811
50.85,1.370731
50.9,0.8725035
50.95,0.468218
51,0.1748984
51.05,-0.1220221
51.1,-0.3241052
51.15,-0.4613678
51.2,-0.6026362
51.25,-0.7139012
51.3,-0.7840773
51.35,-0.8575463
51.4,-0.8613329
51.45,-0.8755703
51.5,-0.9122087
51.55,-0.9510728
51.6,-0.9527455
51.65,-0.9489875
51.7,-0.9978217
51.75,-1.066803
51.8,-1.153533
51.85,-1.237767
51.9,-1.283053
51.95,-1.305714
52,-1.243471
52.05,-1.151123
52.1,-1.150635
52.15,-1.157104
52.2,-1.160795
52.25,-1.213929
52.3,-1.2905
52.35,-1.476043
52.4,-1.534395
52.45,-1.572124
52.5,-1.615103
52.55,-1.585862
52.6,-1.510982
52.65,-1.51723
52.7,-1.57385
52.75,-1.624332
52.8,-1.66476
52.85,-1.709181
52.9,-1.71855
52.95,-1.709935
53,-1.694937
53.05,-1.702717
53.1,-1.728024
53.15,-1.781376
53.2,-1.830564
53.25,-1.809114
53.3,-1.749725
53.35,-1.702299
53.4,-1.719679
53.45,-1.75848
53.5,-1.776769
53.55,-1.834581
53.6,-1.87291
53.65,-1.843218
53.7,-1.801352
53.75,-1.74908
53.8,-1.709616
53.85,-1.67417
53.9,-1.62259
53.95,-1.578508
54,-1.51999
54.05,-1.522046
54.1,-1.482153
54.15,-1.348065
54.2,-0.5363912
54.25,1.755392
54.3,7.034258
54.35,16.88217
54.4,32.24855
54.45,52.9903
54.5,77.21279
54.55,101.0174
54.6,119.9904
54.65,130.3321
54.7,129.5735
54.75,118.496
54.8,99.78179
54.85,77.72073
54.9,56.47106
54.95,38.61227
55,25.29675
55.05,16.34836
55.1,10.44407
55.15,6.896305
55.2,4.561768
55.25,3.06122
55.3,2.062577
55.35,1.28202
55.4,0.6386783
55.45,0.1721799
55.5,-0.1471763
55.55,-0.4826106
55.6,-0.7653388
55.65,-0.9903558
55.7,-1.168255
55.75,-1.253126
55.8,-1.270571
55.85,-1.304633
55.9,-1.416606
55.95,-1.561843
56,-1.62808
56.05,-1.634498
56.1,-1.645268
56.15,-1.630086
56.2,-1.588722
56.25,-1.627928
56.3,-1.677918
56.35,-1.736174
56.4,-1.74395
56.45,-1.740919
56.5,-1.738965
56.55,-1.730425
56.6,-1.69135
56.65,-1.685571
56.7,-1.724863
56.75,-1.799392
56.8,-1.857318
56.85,-1.854565
56.9,-1.833725
56.95,-1.831096
