Data File Name,ggoyal_High Sensitivity DNA Assay_DE24802700_2017-07-11_14-23-16.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\GGoyal,,
Date Created,"Tuesday, July 11, 2017 9:23:16 PM",,
Date Last Modified,"Thursday, July 13, 2017 11:57:47 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,-3.34E-02,13,1247
32.05,-3.34E-02,,
32.1,-3.34E-02,,
32.15,-3.34E-02,,
32.2,-3.34E-02,,
32.25,-3.34E-02,,
32.3,-3.34E-02,,
32.35,-3.34E-02,,
32.4,-3.34E-02,,
32.45,-3.34E-02,,
32.5,-3.34E-02,,
32.55,-3.34E-02,,
32.6,-3.34E-02,,
32.65,-3.34E-02,,
32.7,-3.34E-02,,
32.75,-3.34E-02,,
32.8,-3.34E-02,,
32.85,-3.34E-02,,
32.9,-3.34E-02,,
32.95,-3.34E-02,,
33,-3.34E-02,,
33.05,-3.34E-02,,
33.1,-3.34E-02,,
33.15,-3.34E-02,,
33.2,-3.34E-02,,
33.25,-3.34E-02,,
33.3,-3.34E-02,,
33.35,-0.1093564,,
33.4,0.035539,,
33.45,8.53E-02,,
33.5,0.0550955,,
33.55,-9.92E-03,,
33.6,-2.08E-03,,
33.65,-7.10E-02,,
33.7,-3.60E-02,,
33.75,2.78E-02,,
33.8,0.0516627,,
33.85,-1.38E-03,,
33.9,-3.17E-02,,
33.95,4.38E-02,,
34,0.132483,,
34.05,0.1261744,,
34.1,0.0356814,,
34.15,-9.98E-02,,
34.2,-0.1651127,,
34.25,-6.40E-02,,
34.3,-7.63E-03,,
34.35,0.1206185,,
34.4,1.80E-02,,
34.45,-0.1677204,,
34.5,-0.2805552,,
34.55,-0.1061051,,
34.6,0.2093018,,
34.65,0.3602763,,
34.7,0.3098332,,
34.75,0.1291805,,
34.8,-0.2551711,,
34.85,-0.5635328,,
34.9,-0.5294191,,
34.95,-0.3205552,,
35,-0.247033,,
35.05,-0.2586266,,
35.1,-0.3307549,,
35.15,-0.5085687,,
35.2,-0.6144811,,
35.25,-0.5245313,,
35.3,-0.3983434,,
35.35,-0.3113425,,
35.4,-0.213939,,
35.45,-0.2022162,,
35.5,-0.1393302,,
35.55,-5.95E-02,,
35.6,-9.94E-02,,
35.65,-0.278653,,
35.7,-0.5543502,,
35.75,-0.6031864,,
35.8,-0.5992786,,
35.85,-0.4129778,,
35.9,-0.2269606,,
35.95,-0.1553553,,
36,-0.1201926,,
36.05,-0.1285516,,
36.1,-7.42E-02,,
36.15,-2.25E-02,,
36.2,-2.70E-03,,
36.25,0.0583653,,
36.3,9.45E-03,,
36.35,0.1131766,,
36.4,0.2345041,,
36.45,0.3291006,,
36.5,0.2810369,,
36.55,0.1303385,,
36.6,1.75E-02,,
36.65,-0.1035265,,
36.7,-0.2574778,,
36.75,-0.1735792,,
36.8,-7.37E-02,,
36.85,1.38E-02,,
36.9,0.091857,,
36.95,0.121233,,
37,8.20E-03,,
37.05,-0.1698734,,
37.1,-0.2157463,,
37.15,-0.2165279,,
37.2,-0.215316,,
37.25,-0.181421,,
37.3,-0.2661682,,
37.35,-0.4848122,,
37.4,-0.7161584,,
37.45,-0.7195539,,
37.5,-0.7489078,,
37.55,-0.5487643,,
37.6,-0.2913817,,
37.65,-0.1051081,,
37.7,-0.1631798,,
37.75,-0.2071734,,
37.8,-0.3503332,,
37.85,-0.3772734,,
37.9,-0.3797397,,
37.95,-0.2520279,,
38,-0.176435,,
38.05,-7.30E-02,,
