Data File Name,Nexterajlc_High Sensitivity DNA Assay_DE24802700_2017-11-14_10-57-20.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\JLChiniquy,,
Date Created,"Tuesday, November 14, 2017 6:57:20 PM",,
Date Last Modified,"Tuesday, December 05, 2017 9:51:38 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
43.1,121.2914,,
43.15,98.11073,,
43.2,73.40675,,
43.25,50.91962,,
43.3,32.92093,,
43.35,20.1129,,
43.4,11.88629,,
43.45,7.154855,,
43.5,4.750102,,
43.55,3.445545,,
43.6,2.725941,,
43.65,2.289529,,
43.7,2.061722,,
43.75,1.882993,,
43.8,1.588873,,
43.85,1.327224,,
43.9,1.137752,,
43.95,0.9896586,,
44,0.8930448,,
44.05,0.8324635,,
44.1,0.7851115,,
44.15,0.7222897,,
44.2,0.5950963,,
44.25,0.3902654,,
44.3,0.1904058,,
44.35,0.1121727,,
44.4,0.2129706,,
44.45,0.3152662,,
44.5,0.3988273,,
44.55,0.4152276,,
44.6,0.4059588,,
44.65,0.4128431,,
44.7,0.4162917,,
44.75,0.464595,,
44.8,0.602919,,
44.85,0.7588839,,
44.9,0.9015372,,
44.95,1.116829,,
45,1.345505,,
45.05,1.618736,,
45.1,1.781797,,
45.15,1.777004,,
45.2,1.666119,,
45.25,1.497679,,
45.3,1.260872,,
45.35,1.160248,,
45.4,1.204878,,
45.45,1.339445,,
45.5,1.522852,,
45.55,1.732534,,
45.6,1.904366,,
45.65,1.946903,,
45.7,1.883348,,
45.75,1.797137,,
45.8,1.845012,,
45.85,1.868677,,
45.9,1.809829,,
45.95,1.779201,,
46,1.713083,,
46.05,1.5936,,
46.1,1.43836,,
46.15,1.272167,,
46.2,1.155647,,
46.25,1.050771,,
46.3,0.9282866,,
46.35,0.8783925,,
46.4,0.865756,,
46.45,0.7962856,,
46.5,0.6247905,,
46.55,0.369268,,
46.6,0.1940094,,
46.65,3.54E-02,,
46.7,-3.03E-02,,
46.75,-4.01E-02,,
46.8,-6.15E-02,,
46.85,-9.48E-02,,
46.9,-0.1713528,,
46.95,-0.2505146,,
47,-0.2825858,,
47.05,-0.3141335,,
47.1,-0.3118228,,
47.15,-0.1957146,,
47.2,-0.1790567,,
47.25,-9.65E-02,,
47.3,-0.1446034,,
47.35,-0.1910277,,
47.4,-0.2300864,,
47.45,-0.2805552,,
47.5,-0.284651,,
47.55,-0.25144,,
47.6,-0.178482,,
47.65,-7.83E-02,,
47.7,5.70E-03,,
47.75,7.07E-02,,
47.8,0.1311054,,
47.85,0.1079266,,
47.9,5.18E-02,,
47.95,5.18E-02,,
48,0.1253765,,
48.05,0.2814816,,
48.1,0.3609858,,
48.15,0.3662474,,
48.2,0.2352654,,
48.25,9.23E-03,,
48.3,-0.2180759,,
48.35,-0.3484704,,
48.4,-0.3850474,,
48.45,-0.3959114,,
48.5,-0.3828882,,
48.55,-0.3977957,,
48.6,-0.4368265,,
48.65,-0.4863871,,
48.7,-0.5121383,,
48.75,-0.5237185,,
48.8,-0.4754774,,
48.85,-0.4559424,,
48.9,-0.4592171,,
48.95,-0.4901375,,
49,-0.4838423,,
49.05,-0.4761022,,
49.1,-0.5116567,,
49.15,-0.5769786,,
49.2,-0.6815754,,
49.25,-0.7284908,,
49.3,-0.8088447,,
49.35,-0.8434263,,
49.4,-0.7583957,,
49.45,-0.6418189,,
49.5,-0.7075866,,
49.55,-0.8421398,,
49.6,-0.9812977,,
49.65,-1.036806,,
49.7,-1.034459,,
49.75,-1.010205,,
49.8,-0.9412424,,
49.85,-0.8597293,,
49.9,-0.863853,,
49.95,-0.9214794,,
50,-0.9491705,,
50.05,-0.9810487,,
50.1,-0.9863801,,
50.15,-0.9573942,,
50.2,-0.9908495,,
50.25,-0.9915528,,
50.3,-0.9485516,,
50.35,-0.8553793,,
50.4,-0.7772265,,
50.45,-0.7591487,,
50.5,-0.7965102,,
50.55,-0.8739394,,
50.6,-0.9650778,,
50.65,-1.020599,,
50.7,-1.006464,,
50.75,-0.9751666,,
50.8,-0.9540538,,
50.85,-0.9954655,,
50.9,-0.9945419,,
50.95,-0.9715779,,
51,-0.8859907,,
51.05,-0.7827801,,
51.1,-0.7278354,,
51.15,-0.7725407,,
51.2,-0.8690557,,
51.25,-0.9563551,,
51.3,-1.006766,,
51.35,-0.928481,,
51.4,-0.8342318,,
51.45,-0.7003126,,
51.5,-0.5477057,,
51.55,-0.5685559,,
51.6,-0.6913496,,
51.65,-0.7649628,,
51.7,-0.8425936,,
51.75,-0.911438,,
51.8,-1.017942,,
51.85,-1.094697,,
51.9,-1.144547,,
51.95,-1.24928,,
52,-1.367639,,
52.05,-1.411608,,
52.1,-1.338659,,
52.15,-1.150364,,
52.2,-1.040504,,
52.25,-0.9448865,,
52.3,-0.9368995,,
52.35,-1.012706,,
52.4,-1.038651,,
52.45,-1.061731,,
52.5,-1.045971,,
52.55,-1.006083,,
52.6,-0.9766105,,
52.65,-0.9627622,,
52.7,-0.9667425,,
52.75,-0.98093,,
52.8,-1.020135,,
52.85,-1.087887,,
52.9,-1.216204,,
52.95,-1.228222,,
53,-1.126458,,
53.05,-0.9257788,,
53.1,-0.806658,,
53.15,-0.7157899,,
53.2,-0.6932007,,
53.25,-0.7224331,,
53.3,-0.7893617,,
53.35,-0.863148,,
53.4,-0.8771873,,
53.45,-0.8681713,,
53.5,-0.9101385,,
53.55,-0.9812799,,
53.6,-1.051123,,
53.65,-1.106827,,
53.7,-1.150694,,
53.75,-1.210633,,
53.8,-1.224702,,
53.85,-1.210022,,
53.9,-1.208332,,
53.95,-1.217395,,
54,-1.246007,,
54.05,-1.315313,,
54.1,-1.380431,,
54.15,-1.366612,,
54.2,-1.305236,,
54.25,-1.196107,,
54.3,-1.136655,,
54.35,-1.160193,,
54.4,-1.190799,,
54.45,-1.201693,,
54.5,-1.199338,,
54.55,-1.155371,,
54.6,-1.174256,,
54.65,-1.169504,,
54.7,-1.11152,,
54.75,-1.070315,,
54.8,-1.036963,,
54.85,-0.9456021,,
54.9,-0.8031968,,
54.95,-0.7431964,,
55,-0.7334499,,
55.05,-0.8299106,,
55.1,-0.8969904,,
55.15,-1.021027,,
55.2,-1.209068,,
55.25,-1.288137,,
55.3,-1.275594,,
55.35,-1.236411,,
55.4,-1.157493,,
55.45,-1.041261,,
55.5,-0.9304539,,
55.55,-0.8217886,,
55.6,-0.7374338,,
55.65,-0.8183317,,
55.7,-0.9248144,,
55.75,-1.102619,,
55.8,-1.133241,,
55.85,-1.047706,,
55.9,-0.8944307,,
55.95,-0.7646279,,
56,-0.7110596,,
56.05,-0.7535563,,
56.1,-0.8412349,,
56.15,-0.8487326,,
56.2,-0.7259732,,
56.25,-0.5780671,,
56.3,-0.5090947,,
56.35,-0.5700468,,
56.4,-0.7842468,,
56.45,-1.086256,,
56.5,-1.250921,,
56.55,-1.310361,,
56.6,-1.310409,,
56.65,-1.340059,,
56.7,-1.330988,,
56.75,-1.323098,,
56.8,-1.370639,,
56.85,-1.417287,,
56.9,-1.397539,,
56.95,-1.337122,,
57,-1.261807,,
57.05,-1.165125,,
57.1,-1.115462,,
57.15,-1.070156,,
57.2,-1.205738,,
57.25,-1.255294,,
57.3,-1.215042,,
57.35,-1.189097,,
57.4,-1.135206,,
57.45,-1.099325,,
57.5,-1.131475,,
57.55,-1.168797,,
57.6,-1.166901,,
57.65,-1.16008,,
57.7,-1.136875,,
57.75,-1.137671,,
57.8,-1.191828,,
57.85,-1.235389,,
57.9,-1.227043,,
57.95,-1.16884,,
58,-1.127327,,
58.05,-1.071146,,
58.1,-0.9776837,,
58.15,-0.8155457,,
58.2,-0.6749274,,
58.25,-0.6083602,,
58.3,-0.5949331,,
58.35,-0.6293666,,
58.4,-0.7085913,,
58.45,-0.815173,,
58.5,-0.8011848,,
58.55,-0.7740316,,
58.6,-0.7072427,,
58.65,-0.7521471,,
58.7,-0.797709,,
58.75,-0.8191977,,
58.8,-0.8378807,,
58.85,-0.8348095,,
58.9,-0.8277639,,
58.95,-0.8124061,,
59,-0.7832777,,
59.05,-0.7815901,,
59.1,-0.8013543,,
59.15,-0.7379256,,
59.2,-0.6207194,,
59.25,-0.6246966,,
59.3,-0.5827263,,
59.35,-0.5718182,,
59.4,-0.529406,,
59.45,-0.5870631,,
59.5,-0.6255342,,
59.55,-0.5559214,,
59.6,-0.4441293,,
59.65,-0.3664993,,
59.7,-0.2979554,,
59.75,-0.2426542,,
59.8,-0.2836487,,
59.85,-0.3591295,,
59.9,-0.4208241,,
59.95,-0.4193149,,
60,-0.410268,,
60.05,-0.379621,,
60.1,-0.2837629,,
60.15,-0.154281,,
60.2,-4.43E-02,,
60.25,0.1038298,,
60.3,0.1935887,,
60.35,0.1976761,,
60.4,0.1813209,,
60.45,0.202847,,
60.5,0.2947922,,
60.55,0.4050642,,
60.6,0.5196171,,
60.65,0.6087743,,
60.7,0.5483385,,
60.75,0.3662932,,
60.8,0.2117481,,
60.85,0.1368913,,
60.9,0.1948141,,
60.95,0.3088464,,
61,0.4576682,,
61.05,0.6427619,,
61.1,0.8005421,,
61.15,0.9055256,,
61.2,1.006027,,
61.25,1.076487,,
61.3,1.137902,,
61.35,1.056978,,
61.4,1.182747,,
61.45,1.310494,,
61.5,1.4023,,
61.55,1.429792,,
61.6,1.585804,,
61.65,1.761996,,
61.7,1.940307,,
61.75,2.056984,,
61.8,2.092554,,
61.85,2.038056,,
61.9,1.854808,,
61.95,1.706472,,
62,1.718454,,
62.05,1.727918,,
62.1,1.746012,,
62.15,1.784677,,
62.2,1.780848,,
62.25,1.679037,,
62.3,1.696802,,
62.35,1.797428,,
62.4,1.895989,,
62.45,1.955556,,
62.5,2.105594,,
62.55,2.352127,,
62.6,2.527056,,
62.65,2.67597,,
62.7,2.80304,,
62.75,3.066603,,
62.8,3.187786,,
62.85,3.321651,,
62.9,3.371104,,
62.95,3.439416,,
63,3.475915,,
63.05,3.540235,,
