Data File Name,NK_20170918_High Sensitivity DNA Assay_DE24802700_2017-09-18_10-28-44.xad
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan
Date Created,"Monday, September 18, 2017 5:28:44 PM"
Date Last Modified,"Monday, September 18, 2017 6:32:04 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.07.SI532
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,11
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,0.3212891
32.05,0.3212891
32.1,0.3212891
32.15,0.3212891
32.2,0.3212891
32.25,0.3212891
32.3,0.3212891
32.35,0.3212891
32.4,0.3212891
32.45,0.3212891
32.5,0.3212891
32.55,0.3212891
32.6,0.3212891
32.65,0.213698
32.7,7.346699E-02
32.75,4.431384E-02
32.8,-1.581626E-02
32.85,-4.501576E-02
32.9,-1.308123E-03
32.95,3.723222E-04
33,-0.1343805
33.05,-0.2435676
33.1,-0.1572628
33.15,-3.092744E-02
33.2,2.072792E-02
33.25,-7.721716E-03
33.3,-0.0334355
33.35,-0.1096121
33.4,-6.964205E-02
33.45,3.441615E-02
33.5,0.1389659
33.55,0.1277912
33.6,0.1384873
33.65,0.0815083
33.7,4.685201E-03
33.75,-7.644833E-02
33.8,-5.525157E-02
33.85,-0.0657361
33.9,2.278222E-02
33.95,0.1142875
34,0.1453182
34.05,0.1289276
34.1,0.1893384
34.15,0.2854837
34.2,0.3542392
34.25,0.4153621
34.3,0.3643315
34.35,0.2009897
34.4,0.1164398
34.45,0.2012546
34.5,0.3096575
34.55,0.3648908
34.6,0.335087
34.65,0.1926668
34.7,-2.763344E-02
34.75,-8.620447E-02
34.8,-6.121749E-02
34.85,0.1257527
34.9,0.2317328
34.95,0.274143
35,0.2976592
35.05,0.2509787
35.1,0.13194
35.15,8.661138E-02
35.2,9.631079E-02
35.25,-1.078901E-02
35.3,-0.169479
35.35,-0.236545
35.4,-0.2926581
35.45,-0.2364513
35.5,-0.1001316
35.55,7.914896E-02
35.6,7.428209E-02
35.65,5.180819E-02
35.7,-2.495169E-03
35.75,-6.318922E-02
35.8,-8.703668E-02
35.85,0.1198761
35.9,0.1807989
35.95,0.2027972
36,0.1118426
36.05,-8.958314E-03
36.1,-0.1051853
36.15,-0.0393151
36.2,0.1026569
36.25,0.209245
36.3,0.2136943
36.35,0.1716711
36.4,0.1910279
36.45,0.1986086
36.5,0.2832516
36.55,0.2313602
36.6,0.2397804
36.65,0.2277531
36.7,0.1116411
36.75,0.1706982
36.8,0.2286392
36.85,0.2096778
36.9,0.2004824
36.95,0.1339852
37,0.1216453
37.05,5.175156E-02
37.1,8.302816E-02
37.15,0.1278334
37.2,5.684079E-02
37.25,-4.731852E-02
37.3,-0.1176501
37.35,-0.1943713
37.4,-0.2418471
37.45,-0.2080581
37.5,-0.1697098
