Data File Name,nextera_jlc_High Sensitivity DNA Assay_DE24802700_2018-01-10_12-11-58.xad
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration
Date Created,"Wednesday, January 10, 2018 8:11:58 PM"
Date Last Modified,"Tuesday, January 16, 2018 7:11:05 PM"
Version Created,B.02.07.SI532
Version Last Modified,B.02.08.SI648
 
Assay Name,High Sensitivity DNA
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA
Assay Title,High Sensitivity DNA Assay
Assay Version,1.0
 
Number of Samples Run,10
 
Sample Name,Ladder
Number of Events,2121
 
Time,Value
32,0.1448975
32.05,0.1448975
32.1,0.1448975
32.15,0.1448975
32.2,0.1448975
32.25,0.1448975
32.3,0.1448975
32.35,0.1448975
32.4,0.1448975
32.45,0.1448975
32.5,0.1448975
32.55,0.1448975
32.6,6.082783E-02
32.65,7.864921E-02
32.7,0.1121306
32.75,0.1034722
32.8,0.1069207
32.85,9.902178E-02
32.9,6.482367E-02
32.95,1.269653E-02
33,-2.899173E-02
33.05,-3.882772E-02
33.1,-3.408954E-02
33.15,-7.207479E-02
33.2,-0.1152171
33.25,-5.878366E-02
33.3,-4.658521E-02
33.35,-3.001187E-02
33.4,-2.837851E-02
33.45,-4.333695E-02
33.5,-7.108119E-02
33.55,-0.1247684
33.6,-0.1384708
33.65,-0.1359986
33.7,-9.568435E-02
33.75,-0.1216311
33.8,-0.1433972
33.85,-0.1455311
33.9,-0.1465008
33.95,-0.1523673
34,-0.1601571
34.05,-0.1894103
34.1,-0.2373031
34.15,-0.2684742
34.2,-0.2883723
34.25,-0.2780087
34.3,-0.2518152
34.35,-0.2416184
34.4,-0.2590446
34.45,-0.3010045
34.5,-0.3394722
34.55,-0.3304493
34.6,-0.3024419
34.65,-0.2675081
34.7,-0.2405491
34.75,-0.228783
34.8,-0.2332386
34.85,-0.2566632
34.9,-0.2686267
34.95,-0.3137351
35,-0.3683574
35.05,-0.4446567
35.1,-0.5106135
35.15,-0.551816
35.2,-0.5584965
35.25,-0.5192434
35.3,-0.4788157
35.35,-0.4343532
