Data File Name,nextera_jlc_High Sensitivity DNA Assay_DE24802700_2018-01-10_12-11-58.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Wednesday, January 10, 2018 8:11:58 PM",,
Date Last Modified,"Tuesday, January 16, 2018 7:11:05 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.08.SI648,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,10,,
 ,,,
Sample Name,0.1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,-0.1349411,5,1184
32.05,-0.1349411,,
32.1,-0.1349411,,
32.15,-0.1349411,,
32.2,-0.1349411,,
32.25,-0.1349411,,
32.3,-0.1349411,,
32.35,-9.74E-02,,
32.4,-6.10E-02,,
32.45,-5.92E-02,,
32.5,-7.86E-02,,
32.55,-0.1293478,,
32.6,-0.1772179,,
32.65,-0.1544055,,
32.7,-7.67E-02,,
32.75,3.56E-02,,
32.8,0.1113667,,
32.85,9.90E-02,,
32.9,3.50E-02,,
32.95,5.07E-03,,
33,-4.47E-02,,
33.05,-2.25E-02,,
33.1,3.72E-02,,
33.15,0.1030248,,
33.2,0.1513009,,
33.25,0.1600133,,
33.3,0.1118246,,
33.35,0.0639943,,
33.4,3.48E-03,,
33.45,-5.27E-02,,
33.5,-6.89E-02,,
33.55,-6.44E-02,,
33.6,-8.05E-02,,
33.65,-0.1344049,,
33.7,-0.1869879,,
33.75,-0.2020401,,
33.8,-0.2342934,,
33.85,-0.2705624,,
33.9,-0.2638286,,
33.95,-0.2284585,,
34,-0.1990537,,
34.05,-0.1930558,,
34.1,-0.231911,,
34.15,-0.2360765,,
34.2,-0.2388834,,
34.25,-0.250984,,
34.3,-0.2374969,,
34.35,-0.1770594,,
34.4,-0.1058839,,
34.45,-0.1039918,,
34.5,-0.1506299,,
34.55,-0.2527993,,
34.6,-0.3161374,,
