Data File Name,NK_20170918_High Sensitivity DNA Assay_DE24802700_2017-09-18_10-28-44.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\20171205_Nextera_library_size_to_loading_concentration_tool\NKaplan,,
Date Created,"Monday, September 18, 2017 5:28:44 PM",,
Date Last Modified,"Monday, September 18, 2017 6:32:04 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 1,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
32,-5.74E-02,10,1305
32.05,-5.74E-02,,
32.1,-5.74E-02,,
32.15,-5.74E-02,,
32.2,-5.74E-02,,
32.25,-5.74E-02,,
32.3,-5.74E-02,,
32.35,-5.74E-02,,
32.4,-5.74E-02,,
32.45,-5.74E-02,,
32.5,-5.74E-02,,
32.55,-5.74E-02,,
32.6,-5.74E-02,,
32.65,-5.74E-02,,
32.7,-5.98E-02,,
32.75,-3.44E-02,,
32.8,-8.91E-02,,
32.85,6.66E-03,,
32.9,0.1384084,,
32.95,0.1156421,,
33,0.011067,,
33.05,-0.14717,,
33.1,-0.1955723,,
33.15,-0.1908086,,
33.2,-0.1136933,,
33.25,5.96E-02,,
33.3,0.1742911,,
33.35,0.1768447,,
33.4,0.1226783,,
33.45,5.77E-02,,
33.5,3.64E-03,,
33.55,-3.54E-02,,
33.6,-1.99E-03,,
33.65,2.10E-02,,
33.7,-8.84E-03,,
33.75,-2.49E-02,,
33.8,-8.37E-02,,
33.85,-5.12E-02,,
33.9,1.28E-02,,
33.95,5.59E-02,,
34,0.1169019,,
34.05,0.1968545,,
34.1,0.2055193,,
34.15,0.1821371,,
34.2,0.2537726,,
34.25,0.3355408,,
34.3,0.3542238,,
34.35,0.3234405,,
34.4,0.3646429,,
34.45,0.4049918,,
34.5,0.3397464,,
34.55,0.4168043,,
34.6,0.5302437,,
34.65,0.5706692,,
34.7,0.5830529,,
34.75,0.5936928,,
34.8,0.5275569,,
34.85,0.431558,,
34.9,0.3975988,,
34.95,0.4209362,,
35,0.4104849,,
35.05,0.3706121,,
35.1,0.3727187,,
35.15,0.4065746,,
35.2,0.4273275,,
35.25,0.4225765,,
35.3,0.3580673,,
35.35,0.2187172,,
35.4,0.1649351,,
35.45,0.2410933,,
35.5,0.3769199,,
35.55,0.5306736,,
35.6,0.5613284,,
35.65,0.4664741,,
35.7,0.3551628,,
35.75,0.2736879,,
35.8,0.4122813,,
35.85,0.4585839,,
35.9,0.5450905,,
35.95,0.6187419,,
36,0.6234741,,
36.05,0.7817772,,
36.1,0.8281171,,
36.15,0.8314136,,
36.2,0.7880483,,
36.25,0.6994989,,
36.3,0.6596265,,
36.35,0.8018157,,
36.4,0.9808789,,
