Data File Name,nk_03_06_2018_High Sensitivity DNA Assay_DE24802700_2018-03-06_15-11-01.xad,,
Data File Path,C:\Users\jlchiniquy\Desktop\JGI_Computer_BackUp\JBEI,SynBio\MiSeq\20171211_Nextera_library_size_to_loading_concentration,
Date Created,"Tuesday, March 06, 2018 11:11:01 PM",,
Date Last Modified,"Tuesday, March 06, 2018 11:52:20 PM",,
Version Created,B.02.07.SI532,,
Version Last Modified,B.02.07.SI532,,
 ,,,
Assay Name,High Sensitivity DNA,,
Assay Path,C:\Program Files\Agilent\2100 bioanalyzer\2100 expert\assays\dsDNA,,
Assay Title,High Sensitivity DNA Assay,,
Assay Version,1,,
 ,,,
Number of Samples Run,11,,
 ,,,
Sample Name,sample 2,,
Number of Events,2121,,
 ,,,
Time,Value,Library Loading Concentration (pM),Cluster Density (K/mm^2)
43.45,6.970115,,
43.5,5.298635,,
43.55,4.583884,,
43.6,4.584038,,
43.65,4.601315,,
43.7,4.423586,,
43.75,4.399235,,
43.8,4.287401,,
43.85,4.012403,,
43.9,3.646362,,
43.95,3.363385,,
44,3.204928,,
44.05,3.236123,,
44.1,3.195507,,
44.15,3.169073,,
44.2,3.234512,,
44.25,3.242965,,
44.3,3.171362,,
44.35,3.523565,,
44.4,3.966832,,
44.45,4.467329,,
44.5,4.905573,,
44.55,4.779181,,
44.6,4.394614,,
44.65,3.632001,,
44.7,2.892385,,
44.75,2.664459,,
44.8,2.632518,,
44.85,2.858166,,
44.9,2.842686,,
44.95,2.770631,,
45,3.344692,,
45.05,4.275527,,
45.1,5.163619,,
45.15,5.824573,,
45.2,5.898962,,
45.25,5.743059,,
45.3,5.751279,,
45.35,6.351713,,
45.4,7.174469,,
45.45,7.900456,,
45.5,8.762151,,
45.55,9.842294,,
45.6,11.00492,,
45.65,12.32653,,
45.7,13.40438,,
45.75,13.82981,,
45.8,13.55132,,
45.85,12.66072,,
45.9,11.3926,,
45.95,9.901212,,
46,8.537141,,
46.05,7.493156,,
46.1,6.818953,,
46.15,6.444484,,
46.2,6.155045,,
46.25,5.551657,,
46.3,4.834267,,
46.35,4.49505,,
46.4,4.594184,,
46.45,4.891693,,
46.5,5.229332,,
46.55,5.43776,,
46.6,5.286482,,
46.65,4.851758,,
46.7,4.31412,,
46.75,3.848466,,
46.8,3.408601,,
46.85,2.843565,,
46.9,2.438831,,
46.95,2.343713,,
47,2.388367,,
47.05,2.375332,,
47.1,2.278574,,
47.15,2.197637,,
47.2,2.039691,,
47.25,1.94841,,
47.3,2.212893,,
47.35,2.689984,,
47.4,3.237607,,
47.45,3.545253,,
47.5,3.59995,,
47.55,3.459579,,
47.6,3.058172,,
47.65,2.664021,,
47.7,2.223409,,
47.75,1.75245,,
47.8,1.492332,,
47.85,1.345372,,
47.9,1.476553,,
47.95,1.847315,,
48,2.275452,,
48.05,2.657911,,
48.1,2.923792,,
48.15,3.075208,,
48.2,3.012192,,
48.25,2.795545,,
48.3,2.672132,,
48.35,2.631073,,
48.4,2.316599,,
48.45,1.791385,,
48.5,1.19441,,
48.55,0.4069569,,
48.6,-0.245943,,
48.65,-0.4573463,,
48.7,-0.3833417,,
48.75,-0.1034354,,
48.8,0.2809154,,
48.85,0.7368363,,
48.9,0.9822181,,
48.95,0.88797,,
49,0.5931817,,
49.05,3.33E-02,,
49.1,-0.6435189,,
49.15,-1.11279,,
49.2,-1.327249,,
49.25,-1.320402,,
49.3,-1.281421,,
49.35,-1.233513,,
49.4,-1.183465,,
49.45,-1.256757,,
49.5,-1.24715,,
49.55,-1.14703,,
49.6,-1.098864,,
49.65,-1.055818,,
49.7,-1.159706,,
49.75,-1.261507,,
49.8,-1.439936,,
49.85,-1.720188,,
49.9,-1.840689,,
49.95,-1.74051,,
50,-1.411624,,
50.05,-0.9235701,,
50.1,-0.7925746,,
50.15,-1.058998,,
50.2,-1.393178,,
50.25,-1.228303,,
50.3,-0.8706169,,
50.35,-0.6651437,,
50.4,-0.8835019,,
50.45,-1.546631,,
50.5,-2.278728,,
50.55,-2.691697,,
50.6,-2.624664,,
50.65,-1.986442,,
50.7,-1.398752,,
50.75,-0.971164,,
50.8,-0.5987171,,
50.85,-0.3577336,,
50.9,-0.2387169,,
50.95,-0.2456943,,
51,-0.2382929,,
51.05,-0.1681584,,
51.1,-0.4937319,,
51.15,-0.8676406,,
51.2,-1.035149,,
51.25,-1.284637,,
51.3,-1.411555,,
51.35,-1.194844,,
51.4,-0.8632954,,
51.45,-0.8721372,,
51.5,-1.230295,,
51.55,-1.428612,,
51.6,-1.533469,,
51.65,-1.449419,,
51.7,-1.147188,,
51.75,-0.7786069,,
51.8,-0.505103,,
51.85,-0.3192897,,
51.9,-0.2763205,,
51.95,-0.2297685,,
52,-0.2104124,,
52.05,3.51E-02,,
52.1,0.5100036,,
52.15,0.9712786,,
52.2,0.9563802,,
52.25,0.628018,,
52.3,0.2081855,,
52.35,0.1708544,,
52.4,3.61E-02,,
52.45,8.05E-02,,
52.5,-8.47E-02,,
52.55,-0.8388977,,
52.6,-1.864174,,
52.65,-2.244845,,
52.7,-2.254536,,
52.75,-1.924862,,
52.8,-1.860038,,
52.85,-1.611021,,
52.9,-1.706429,,
52.95,-2.067441,,
53,-2.329041,,
53.05,-2.254578,,
53.1,-2.154541,,
53.15,-1.890711,,
53.2,-1.467106,,
53.25,-0.708734,,
53.3,-0.1328297,,
53.35,0.3915224,,
53.4,0.3856297,,
53.45,-0.1940764,,
53.5,-1.219435,,
53.55,-2.041748,,
53.6,-2.44185,,
53.65,-2.690468,,
